,title,count,artist,url,Duration
0,34+35,2,Ariana Grande,https://music.youtube.com/watch?v=NplFevPlYDI,05:48
1,7 rings,9,Ariana Grande,https://music.youtube.com/watch?v=XZ868t23Pb4,26:51
2,Almost Is Never Enough,2,Ariana Grande,https://music.youtube.com/watch?v=TKVsRBjMWuk,10:56
3,Bang Bang,3,Ariana Grande,https://music.youtube.com/watch?v=b0U-NcIWz1M,10:00
4,Be Alright,1,Ariana Grande,https://music.youtube.com/watch?v=5bZ6hAqaD5E,03:00
5,Beauty and the Beast,4,Ariana Grande,https://music.youtube.com/watch?v=5vETwZfmRgM,15:12
6,Break Free,2,Ariana Grande,https://music.youtube.com/watch?v=1s4-OFCBUGo,07:10
7,Dangerous Woman,6,Ariana Grande,https://music.youtube.com/watch?v=Uyka5SnxmQ4,23:36
8,Daydreamin',1,Ariana Grande,https://music.youtube.com/watch?v=eLQMGYHVJ_I,03:32
9,Don’t Call Me Angel (Charlie’s Angels),2,Ariana Grande,https://music.youtube.com/watch?v=KHUFlha_hTs,06:22
10,Everyday,1,Ariana Grande,https://music.youtube.com/watch?v=R0eLQ1r1sZo,03:15
11,God is a woman,1,Ariana Grande,https://music.youtube.com/watch?v=vpohuhgqf5w,03:18
12,Greedy,1,Ariana Grande,https://music.youtube.com/watch?v=3SFGpMqxWhM,03:35
13,Into You,1,Ariana Grande,https://music.youtube.com/watch?v=Faq-ODnfIPw,04:05
14,Last Christmas,2,Ariana Grande,https://music.youtube.com/watch?v=lj2VyIiDMF4,06:48
15,Leave Me Lonely,1,Ariana Grande,https://music.youtube.com/watch?v=-kYVljnA6rI,03:50
16,Let Me Love You,6,Ariana Grande,https://music.youtube.com/watch?v=lMydbVuFy4w,22:24
17,Love Is Everything,1,Ariana Grande,https://music.youtube.com/watch?v=yOQAvI-5wds,03:33
18,Love Me Harder,4,Ariana Grande,https://music.youtube.com/watch?v=uvXtC13GlxQ,15:48
19,Lovin' It,1,Ariana Grande,https://music.youtube.com/watch?v=at6iPtxAncs,03:01
20,My Everything,1,Ariana Grande,https://music.youtube.com/watch?v=HxWSDUC-KTU,02:49
21,Not Just On Christmas,1,Ariana Grande,https://music.youtube.com/watch?v=2bzFDFr9eAg,02:03
22,One Last Time,7,Ariana Grande,https://music.youtube.com/watch?v=KEGZVv6KXL0,23:06
23,Only 1,1,Ariana Grande,https://music.youtube.com/watch?v=qukswgSkkzc,03:14
24,Piano,1,Ariana Grande,https://music.youtube.com/watch?v=hd1D61037c8,03:55
25,Santa Baby,1,Ariana Grande,https://music.youtube.com/watch?v=lgR3dpfun68,02:51
26,Santa Tell Me,12,Ariana Grande,https://music.youtube.com/watch?v=2TEAh5SHZGs,41:00
27,Side To Side,6,Ariana Grande,https://music.youtube.com/watch?v=psuGCpXaDMU,22:42
28,Snow In California,3,Ariana Grande,https://music.youtube.com/watch?v=s3-wgU5rpqU,10:21
29,Tattooed Heart,2,Ariana Grande,https://music.youtube.com/watch?v=H6DeIBK0yuc,06:30
30,The Way,5,Ariana Grande,https://music.youtube.com/watch?v=MBc7Ykm31hE,19:00
31,You’ll Never Know,1,Ariana Grande,https://music.youtube.com/watch?v=VyhQZLZpCEQ,03:35
32,"break up with your girlfriend, i'm bored",5,Ariana Grande,https://music.youtube.com/watch?v=4nbYqWVXp7Q,15:55
33,ghostin,2,Ariana Grande,https://music.youtube.com/watch?v=Qztc5UGupj4,09:04
34,motive,5,Ariana Grande,https://music.youtube.com/watch?v=prRpXoivVy4,14:00
35,my hair,1,Ariana Grande,https://music.youtube.com/watch?v=Y5Jrk4TXioE,02:39
36,no tears left to cry,4,Ariana Grande,https://music.youtube.com/watch?v=t31xgKtLjwo,13:44
37,off the table,1,Ariana Grande,https://music.youtube.com/watch?v=XrcLojUHRIM,04:00
38,positions,1,Ariana Grande,https://music.youtube.com/watch?v=lzlg0e7MvYI,02:53
39,"thank u, next",1,Ariana Grande,https://music.youtube.com/watch?v=GftZ601-pXs,03:28
40,we can't be friends (wait for your love),1,Ariana Grande,https://music.youtube.com/watch?v=9Gduk7Zjem4,03:49
41,TOTALS,113,,,392:42
