,title,count,artist,url,Duration
0,1+1,3,Beyoncé,https://music.youtube.com/watch?v=pwt1ddZrCFU,13:42
1,ALIEN SUPERSTAR,15,Beyoncé,https://music.youtube.com/watch?v=kINlZV44JeM,54:00
2,ALL UP IN YOUR MIND,4,Beyoncé,https://music.youtube.com/watch?v=35zH9TppB4w,11:20
3,AMERICA HAS A PROBLEM,9,Beyoncé,https://music.youtube.com/watch?v=niwohlRJHqc,29:51
4,All I Could Do Was Cry,5,Beyoncé,https://music.youtube.com/watch?v=WsglxKjDAyk,15:55
5,All Night,2,Beyoncé,https://music.youtube.com/watch?v=jn1ikLWOr3w,10:44
6,At Last,10,Beyoncé,https://music.youtube.com/watch?v=zWEhTwsE4Ss,30:10
7,BREAK MY SOUL,14,Beyoncé,https://music.youtube.com/watch?v=y6dw-v4BH-Y,65:06
8,Best Thing I Never Had,1,Beyoncé,https://music.youtube.com/watch?v=s6GrbIcBRUs,04:14
9,CHURCH GIRL,9,Beyoncé,https://music.youtube.com/watch?v=DNghDHd2At8,33:45
10,COZY,18,Beyoncé,https://music.youtube.com/watch?v=LeLfgdYj3Js,63:18
11,CUFF IT,19,Beyoncé,https://music.youtube.com/watch?v=AUnzoN7pFE0,71:34
12,CUFF IT (WETTER Remix),2,Beyoncé,https://music.youtube.com/watch?v=qtbvU_sOC7A,08:20
13,Crazy In Love,1,Beyoncé,https://music.youtube.com/watch?v=T6xbOPSUe8M,03:57
14,Deja Vu,5,Beyoncé,https://music.youtube.com/watch?v=dUW2Ev8S3VY,20:00
15,ENERGY,14,Beyoncé,https://music.youtube.com/watch?v=vMeUz6-VEec,27:18
16,Flaws and All,7,Beyoncé,https://music.youtube.com/watch?v=-IF1Zh6wZoU,29:03
17,HEATED,3,Beyoncé,https://music.youtube.com/watch?v=YgKr4mzPBCM,13:03
18,Halo,3,Beyoncé,https://music.youtube.com/watch?v=Ws0sCcEf-XQ,13:06
19,Hold Up,1,Beyoncé,https://music.youtube.com/watch?v=9AjgKcmzMtI,03:42
20,I'M THAT GIRL,23,Beyoncé,https://music.youtube.com/watch?v=h47LOZlL2Q0,80:07
21,"Listen (From the Motion Picture ""Dreamgirls"")",1,Beyoncé,https://music.youtube.com/watch?v=iu-Red3MPXU,03:38
22,Love On Top,29,Beyoncé,https://music.youtube.com/watch?v=n0R5uUEjjCk,129:32
23,MOVE,6,Beyoncé,https://music.youtube.com/watch?v=wU022KMAP8A,20:24
24,"Me, Myself and I",1,Beyoncé,https://music.youtube.com/watch?v=UUElRMbWk-U,05:02
25,Mine,1,Beyoncé,https://music.youtube.com/watch?v=SYQv1vNTKBY,06:19
26,PLASTIC OFF THE SOFA,8,Beyoncé,https://music.youtube.com/watch?v=BEcqve3C9Kk,34:00
27,PURE/HONEY,4,Beyoncé,https://music.youtube.com/watch?v=7beBL5djE8E,19:16
28,Partition,1,Beyoncé,https://music.youtube.com/watch?v=_VeYAH9DswA,05:20
29,SUMMER RENAISSANCE,2,Beyoncé,https://music.youtube.com/watch?v=AWHMgWT05RE,09:08
30,Sorry,1,Beyoncé,https://music.youtube.com/watch?v=3LfLc1lIF_M,03:53
31,Sweet Dreams,2,Beyoncé,https://music.youtube.com/watch?v=q4eSC1JOL9w,06:58
32,THIQUE,4,Beyoncé,https://music.youtube.com/watch?v=ZrSRjJpzQxI,16:20
33,VIRGO'S GROOVE,10,Beyoncé,https://music.youtube.com/watch?v=pCMEvXPmfP4,61:30
34,TOTALS,238,,,923:35
