,title,count,artist,url,Duration
0,& burn,1,Billie Eilish,https://music.youtube.com/watch?v=z8sLTkmdPG4,03:00
1,Billie Bossa Nova,3,Billie Eilish,https://music.youtube.com/watch?v=4RGkfHOHH7w,09:51
2,CHIHIRO,1,Billie Eilish,https://music.youtube.com/watch?v=zYEKeEOKNi0,05:04
3,COPYCAT,2,Billie Eilish,https://music.youtube.com/watch?v=rdKK3OMyLxs,06:30
4,Happier Than Ever,5,Billie Eilish,https://music.youtube.com/watch?v=DG8o24dFq7w,24:55
5,No Time To Die,2,Billie Eilish,https://music.youtube.com/watch?v=0oAAlssVwEw,08:06
6,Ocean Eyes (Blackbear Remix),1,Billie Eilish,https://music.youtube.com/watch?v=h5V2Ebm94-E,03:16
7,Six Feet Under,1,Billie Eilish,https://music.youtube.com/watch?v=zp2e7LIgkoI,03:10
8,TV,1,Billie Eilish,https://music.youtube.com/watch?v=Y63SbCXJJa8,04:42
9,Therefore I Am,1,Billie Eilish,https://music.youtube.com/watch?v=oDn4eKyhSH4,02:55
10,Your Power,2,Billie Eilish,https://music.youtube.com/watch?v=5DEPXcDysro,08:12
11,bad guy,2,Billie Eilish,https://music.youtube.com/watch?v=ZD6rXLXZOEI,06:30
12,bellyache,2,Billie Eilish,https://music.youtube.com/watch?v=Vg18eeEugOQ,06:00
13,bury a friend,4,Billie Eilish,https://music.youtube.com/watch?v=YFervpMG_sM,12:56
14,come out and play,1,Billie Eilish,https://music.youtube.com/watch?v=b88dtuQoXBE,03:31
15,everything i wanted,6,Billie Eilish,https://music.youtube.com/watch?v=iuINiqxtjhI,24:36
16,hostage,1,Billie Eilish,https://music.youtube.com/watch?v=4B7gJMPOYWk,03:50
17,i love you,2,Billie Eilish,https://music.youtube.com/watch?v=WiinVuzh4DA,09:44
18,lovely,1,Billie Eilish,https://music.youtube.com/watch?v=MMfpp0-lnw4,03:21
19,my boy,3,Billie Eilish,https://music.youtube.com/watch?v=EmMZDOupR68,08:33
20,my future,2,Billie Eilish,https://music.youtube.com/watch?v=BKznMmrEXzU,07:02
21,ocean eyes,6,Billie Eilish,https://music.youtube.com/watch?v=3IUqoyTxEU8,20:06
22,watch,1,Billie Eilish,https://music.youtube.com/watch?v=V47CAl52Tdo,02:58
23,when the party's over,3,Billie Eilish,https://music.youtube.com/watch?v=5DcrRJI_H04,09:51
24,wish you were gay,2,Billie Eilish,https://music.youtube.com/watch?v=z0_zOC20jbM,07:24
25,xanny,1,Billie Eilish,https://music.youtube.com/watch?v=GbjwfQG_N_Y,04:04
26,you should see me in a crown,1,Billie Eilish,https://music.youtube.com/watch?v=K6xBwcQTGac,03:01
27,TOTALS,58,,,213:08
