,title,count,artist,url,Duration
0,Afrodisiac,10,Brandy,https://music.youtube.com/watch?v=nwg1IbCFNi8,38:10
1,"All My Life, Pt. 1",1,Brandy,https://music.youtube.com/watch?v=fZaHV7tv6q4,00:41
2,"All My Life, Pt. 2",1,Brandy,https://music.youtube.com/watch?v=09rdwLzslNA,00:41
3,Almost Doesn't Count,8,Brandy,https://music.youtube.com/watch?v=TK8S-xedYuc,29:12
4,Angel in Disguise,5,Brandy,https://music.youtube.com/watch?v=5-pgoTln5do,24:05
5,Baby,2,Brandy,https://music.youtube.com/watch?v=Gcx7CUAI2PE,10:28
6,Best Friend,1,Brandy,https://music.youtube.com/watch?v=lK5CS62KO-g,04:49
7,Borderline,7,Brandy,https://music.youtube.com/watch?v=-_KLKACV6UA,36:31
8,Brokenhearted (feat. Wanya Morris),1,Brandy,https://music.youtube.com/watch?v=vGMfdnYtlt4,04:44
9,Come a Little Closer,1,Brandy,https://music.youtube.com/watch?v=wODpysJ0gNY,04:33
10,Full Moon,2,Brandy,https://music.youtube.com/watch?v=6hqd-ouCDF0,08:18
11,Happy,5,Brandy,https://music.youtube.com/watch?v=6y0rWC0Xfjc,20:35
12,Have You Ever,4,Brandy,https://music.youtube.com/watch?v=3Lq0Qwyj6ds,18:16
13,I Thought,1,Brandy,https://music.youtube.com/watch?v=kyYJS8zfNBE,04:30
14,I Wanna Be Down,1,Brandy,https://music.youtube.com/watch?v=c44FR1JLf5w,04:52
15,In the Car Interlude,2,Brandy,https://music.youtube.com/watch?v=dJVBQL12VJU,02:18
16,Intro,6,Brandy,https://music.youtube.com/watch?v=H32O__yZi8w,04:54
17,Learn the Hard Way,15,Brandy,https://music.youtube.com/watch?v=XjiDGk3f47Q,72:45
18,Like This,1,Brandy,https://music.youtube.com/watch?v=rO2n7SZsXbI,04:33
19,Lucid Dreams,1,Brandy,https://music.youtube.com/watch?v=3JbmHmUrrYA,03:42
20,Missing You,1,Brandy,https://music.youtube.com/watch?v=8KD1E_OPopE,04:14
21,Never Say Never,8,Brandy,https://music.youtube.com/watch?v=k_hdtmbPlcA,41:20
22,No Tomorrow,1,Brandy,https://music.youtube.com/watch?v=t2WtX5arjAc,03:02
23,One Voice,4,Brandy,https://music.youtube.com/watch?v=_KrNwDH9vJg,16:36
24,Piano Man,1,Brandy,https://music.youtube.com/watch?v=VZglRrcVn5w,03:52
25,Put It Down,1,Brandy,https://music.youtube.com/watch?v=TuLzUUQXeqU,04:09
26,Put That on Everything,4,Brandy,https://music.youtube.com/watch?v=r8tBM-7eksw,19:24
27,Rather Be,1,Brandy,https://music.youtube.com/watch?v=aiYk31dJlt4,02:51
28,Rather Be - A COLORS SHOW,1,Brandy,https://music.youtube.com/watch?v=ll9bQHOtQoA,02:59
29,Right Here (Departed) (Piano Intro Version),1,Brandy,https://music.youtube.com/watch?v=qMgIftbb4-4,03:42
30,Say Something,1,Brandy,https://music.youtube.com/watch?v=hR3Dq_Y68yI,03:05
31,Sittin' Up In My Room (from Waiting to Exhale - Original Soundtrack),1,Brandy,https://music.youtube.com/watch?v=DGgANpSjoas,04:53
32,Slower,1,Brandy,https://music.youtube.com/watch?v=oMa72U3snuA,02:58
33,So Sick,1,Brandy,https://music.youtube.com/watch?v=CrL-fq6pMds,04:32
34,Starting Now,1,Brandy,https://music.youtube.com/watch?v=COq6-hVB7hU,03:25
35,Talk About Our Love (feat. Kanye West),2,Brandy,https://music.youtube.com/watch?v=E6dlN5XcK4Y,07:10
36,The Boy Is Mine,10,Brandy,https://music.youtube.com/watch?v=AlXBuWUvRak,49:10
37,Tomorrow,1,Brandy,https://music.youtube.com/watch?v=zc51eUk0NMI,05:20
38,Top of the World (feat. Ma$e),5,Brandy,https://music.youtube.com/watch?v=XU2mZoWFrrA,23:30
39,Truthfully,4,Brandy,https://music.youtube.com/watch?v=sUg0FudesEk,19:56
40,U Don't Know Me (Like U Used To),9,Brandy,https://music.youtube.com/watch?v=swtCT_FO2sg,40:12
41,Wildest Dreams,1,Brandy,https://music.youtube.com/watch?v=PmlGOoAwo6s,04:26
42,[Everything I Do] I Do It for You,3,Brandy,https://music.youtube.com/watch?v=gUEk7NlAhe4,12:30
43,TOTALS,138,,,581:53
