,title,count,artist,url,Duration
0,100 Lovers,1,Cannons,https://music.youtube.com/watch?v=3DsNo14KgMw,03:29
1,Baby,1,Cannons,https://music.youtube.com/watch?v=R6ZWFfZOxnE,03:16
2,Bad Dream,9,Cannons,https://music.youtube.com/watch?v=_w-4lZuKBlQ,30:27
3,Bright Lights,1,Cannons,https://music.youtube.com/watch?v=R4-7ac1Y-Bw,03:26
4,Come Alive,2,Cannons,https://music.youtube.com/watch?v=vLAWhY9_QP0,06:44
5,Dancing In the Dark (Originally Performed By Bruce Springsteen),1,Cannons,https://music.youtube.com/watch?v=A3XxyumH_6Y,03:38
6,Evening Star,1,Cannons,https://music.youtube.com/watch?v=zOt2EjMd0CY,04:07
7,Fire for You,30,Cannons,https://music.youtube.com/watch?v=zukaSaJ_zrs,116:00
8,Golden (Originally Performed By Harry Styles),1,Cannons,https://music.youtube.com/watch?v=QZW9Rmc2NDs,02:57
9,Holding On,1,Cannons,https://music.youtube.com/watch?v=W2pS5Ux1wHU,03:47
10,Hurricane,12,Cannons,https://music.youtube.com/watch?v=tQ3D8kI_cHI,36:24
11,Miracle,1,Cannons,https://music.youtube.com/watch?v=KIlJADu8NbI,04:28
12,Night Drive,1,Cannons,https://music.youtube.com/watch?v=yPez5ag1fxw,03:51
13,Purple Sun,2,Cannons,https://music.youtube.com/watch?v=JKra9DWgMeQ,08:04
14,Ruthless,3,Cannons,https://music.youtube.com/watch?v=ULRHeu_jBvw,10:18
15,Sex on Fire (Originally Performed By Kings of Leon),1,Cannons,https://music.youtube.com/watch?v=0_El-h5-Yes,03:17
16,Shadows,1,Cannons,https://music.youtube.com/watch?v=zVLtDSfwPWI,03:56
17,Spells,1,Cannons,https://music.youtube.com/watch?v=upw6iKSG3GA,04:12
18,Stuck on You,1,Cannons,https://music.youtube.com/watch?v=-vEOHR0nEGk,03:46
19,Talk Talk,2,Cannons,https://music.youtube.com/watch?v=8sCS_cOL8Kg,07:12
20,TOTALS,73,,,263:19
