,Unnamed: 0,title,count,artist,url,Duration,Album
0,0,Affection,1,Cigarettes After Sex,https://music.youtube.com/watch?v=Nvg9soQM-Ok,05:11,Affection
1,1,Apocalypse,6,Cigarettes After Sex,https://music.youtube.com/watch?v=hV6ZfjV-ozc,29:06,Cigarettes After Sex
2,2,Crush,3,Cigarettes After Sex,https://music.youtube.com/watch?v=WbN71WEvmPY,13:21,Jennifer Paige
3,3,Cry,4,Cigarettes After Sex,https://music.youtube.com/watch?v=eUSx74EVZjo,17:08,CRY
4,4,Don't Let Me Go,1,Cigarettes After Sex,https://music.youtube.com/watch?v=HS8EF37bYHs,04:23,Don't Let Me Go
5,5,Dreaming of You,2,Cigarettes After Sex,https://music.youtube.com/watch?v=4uzHj51Z9EE,10:46,Dreaming Of You
6,6,Each Time You Fall In Love,1,Cigarettes After Sex,https://music.youtube.com/watch?v=w2PoV146L1s,04:51,Cigarettes After Sex
7,7,Falling In Love,2,Cigarettes After Sex,https://music.youtube.com/watch?v=2sNZw_xLusk,08:12,Spinners
8,8,Flash,1,Cigarettes After Sex,https://music.youtube.com/watch?v=-FL7IjnxEOk,04:35,The Flash TV Main Theme
9,9,Heavenly,15,Cigarettes After Sex,https://music.youtube.com/watch?v=JfBiW3x_lvI,72:15,Cry
10,10,Hentai,2,Cigarettes After Sex,https://music.youtube.com/watch?v=xcTGNpxwF-w,09:32,Hentai Bitch
11,11,John Wayne,7,Cigarettes After Sex,https://music.youtube.com/watch?v=udnJPP4GiOw,30:13,Cigarettes After Sex
12,12,K.,13,Cigarettes After Sex,https://music.youtube.com/watch?v=OPBe8t2jOaI,69:20,Cigarettes After Sex
13,13,Keep On Loving You,2,Cigarettes After Sex,https://music.youtube.com/watch?v=VxrViltblDU,07:46,Hi Infidelity (30th Anniversary Edition)
14,14,Neon Moon,1,Cigarettes After Sex,https://music.youtube.com/watch?v=gXbL4jqCOlE,03:46,Brand New Man
15,15,Nothing's Gonna Hurt You Baby,5,Cigarettes After Sex,https://music.youtube.com/watch?v=C2Jz3vMYSJc,23:55,I.
16,16,Opera House,1,Cigarettes After Sex,https://music.youtube.com/watch?v=VhKaHZktWt8,06:05,Cigarettes After Sex
17,17,Pistol,8,Cigarettes After Sex,https://music.youtube.com/watch?v=GHQoVb2mcuc,31:20,Money and the Power
18,18,Pure,1,Cigarettes After Sex,https://music.youtube.com/watch?v=Q19q2RNA5rA,04:15,pure
19,19,Starry Eyes,1,Cigarettes After Sex,https://music.youtube.com/watch?v=vvoCkTsMZDM,03:26,Dawn FM
20,20,Sunsetz,3,Cigarettes After Sex,https://music.youtube.com/watch?v=90k2bGlbd4c,10:45,Cigarettes After Sex
21,21,Sweet,13,Cigarettes After Sex,https://music.youtube.com/watch?v=eJfEOmnea8Y,63:16,Cigarettes After Sex
22,22,Touch,2,Cigarettes After Sex,https://music.youtube.com/watch?v=6xVB0ocRwiE,09:46,Touch
23,23,Truly,1,Cigarettes After Sex,https://music.youtube.com/watch?v=yNewhp9-SvE,04:04,Lionel Richie
24,24,TOTALS,96,,,447:17,
