,title,count,artist,url,Duration
0,*✧,1,Coldplay,https://music.youtube.com/watch?v=efr7mjG-QhA,00:54
1,42,11,Coldplay,https://music.youtube.com/watch?v=te4GczYtgEM,43:38
2,A Head Full of Dreams,3,Coldplay,https://music.youtube.com/watch?v=rwdwb5Fkgso,11:12
3,A Message,1,Coldplay,https://music.youtube.com/watch?v=1bDz2MZWKlM,04:46
4,A Rush of Blood to the Head,3,Coldplay,https://music.youtube.com/watch?v=AiebvAkb4LM,17:36
5,A Sky Full of Stars,47,Coldplay,https://music.youtube.com/watch?v=KWuyx6yZ21U,209:56
6,A Sky Full of Stars (Hardwell Remix),1,Coldplay,https://music.youtube.com/watch?v=IYdSbBlbaqI,05:14
7,Adventure of a Lifetime,20,Coldplay,https://music.youtube.com/watch?v=XsMpXczOIPs,88:00
8,All I Can Think About Is You,19,Coldplay,https://music.youtube.com/watch?v=MtyNoff3e48,87:05
9,Always in My Head,20,Coldplay,https://music.youtube.com/watch?v=l2UJmdM9Omw,72:20
10,Amazing Day,15,Coldplay,https://music.youtube.com/watch?v=XH9AkFPHPmM,68:00
11,Another's Arms,13,Coldplay,https://music.youtube.com/watch?v=4EYN8yeReTE,50:55
12,Arabesque,1,Coldplay,https://music.youtube.com/watch?v=Qf3KgPCJXRA,05:41
13,Army of One,18,Coldplay,https://music.youtube.com/watch?v=NE6vs4jqXWc,113:06
14,Atlas (From “The Hunger Games: Catching Fire” Soundtrack),11,Coldplay,https://music.youtube.com/watch?v=Iv-qCwv028Q,43:27
15,Birds,2,Coldplay,https://music.youtube.com/watch?v=reVlIfn6u_c,07:40
16,"Bittersweet Symphony (Live at Live 8, Hyde Park, London, 2nd July 2005)",2,Coldplay,https://music.youtube.com/watch?v=Jy2NFDKvj-U,13:00
17,Biutyful,6,Coldplay,https://music.youtube.com/watch?v=quI6lbtk0-A,19:18
18,BrokEn,2,Coldplay,https://music.youtube.com/watch?v=wXdw8RJIbEw,05:02
19,Cemeteries of London,1,Coldplay,https://music.youtube.com/watch?v=Gqxf2tbJopM,03:22
20,Champion Of The World,2,Coldplay,https://music.youtube.com/watch?v=3oXOu32MM1Q,08:36
21,Charlie Brown,4,Coldplay,https://music.youtube.com/watch?v=JZwU974Qdf4,19:04
22,Charlie Brown (Live),1,Coldplay,https://music.youtube.com/watch?v=u-jbAywJvbU,05:01
23,Christmas Lights,1,Coldplay,https://music.youtube.com/watch?v=ptfBPEQZQAg,04:03
24,Church,7,Coldplay,https://music.youtube.com/watch?v=vMHDh-w1JUA,26:57
25,Clocks,26,Coldplay,https://music.youtube.com/watch?v=8Xv_Hg8o1fw,133:28
26,Coldplay - A Sky Full Of Stars (Official Video),1,Coldplay,https://music.youtube.com/watch?v=VPRjCeoBqrI,04:14
27,Coldplay - Magic (Official Video),1,Coldplay,https://music.youtube.com/watch?v=Qtb11P1FWnc,05:16
28,Coldplay - Princess Of China ft. Rihanna (Official Video),1,Coldplay,https://music.youtube.com/watch?v=1Uw6ZkbsAH8,03:35
29,Coldplay - Up&Up (Official Video),1,Coldplay,https://music.youtube.com/watch?v=BPNTC7uZYrI,04:11
30,Coldplay - Viva La Vida (Live In São Paulo),1,Coldplay,https://music.youtube.com/watch?v=-ZvsGmYKhcU,04:08
31,Coloratura,19,Coldplay,https://music.youtube.com/watch?v=sMYZWCq-N-M,196:01
32,Colour Spectrum,2,Coldplay,https://music.youtube.com/watch?v=fUFyHWIJcY0,02:02
33,Daddy,2,Coldplay,https://music.youtube.com/watch?v=eaSSAiAFSVI,09:58
34,Death and All His Friends,15,Coldplay,https://music.youtube.com/watch?v=esNcd-Ml_iM,94:45
35,Don't Panic,15,Coldplay,https://music.youtube.com/watch?v=2XqpXmhM1Fc,34:15
36,Everglow,14,Coldplay,https://music.youtube.com/watch?v=7pfX1OKqP80,66:02
37,Every Teardrop Is a Waterfall,11,Coldplay,https://music.youtube.com/watch?v=PYnF66Ssi-A,44:11
38,Everything's Not Lost (Includes Hidden Track 'Life Is For Living'),1,Coldplay,https://music.youtube.com/watch?v=_NLT4dkrZ5s,07:17
39,Fix You,10,Coldplay,https://music.youtube.com/watch?v=Oncu0bgdcXU,49:20
40,Fun (feat. Tove Lo),1,Coldplay,https://music.youtube.com/watch?v=rqCP4Invnrs,04:28
41,Glass of Water,1,Coldplay,https://music.youtube.com/watch?v=TdZTjVL3ylU,04:45
42,God Put a Smile upon Your Face,2,Coldplay,https://music.youtube.com/watch?v=lxECRgVSbE8,09:56
43,Green Eyes,4,Coldplay,https://music.youtube.com/watch?v=waKvorfmuB8,14:56
44,Guns,1,Coldplay,https://music.youtube.com/watch?v=2eQo4sL9S-4,01:56
45,Higher Power,5,Coldplay,https://music.youtube.com/watch?v=A3nJxEbi7Uk,17:40
46,Humankind,15,Coldplay,https://music.youtube.com/watch?v=YXZO8Ex0Iyk,66:45
47,Hurts Like Heaven,1,Coldplay,https://music.youtube.com/watch?v=zXKDeVt64UQ,04:03
48,Hymn for the Weekend,41,Coldplay,https://music.youtube.com/watch?v=H3Kzh6RrnMc,176:59
49,Hymn for the Weekend (Seeb Remix),2,Coldplay,https://music.youtube.com/watch?v=qLboqerzUzI,07:06
50,Hypnotised,11,Coldplay,https://music.youtube.com/watch?v=r2nyvDJO9hk,65:16
51,In My Place,13,Coldplay,https://music.youtube.com/watch?v=dFmO5_JeD_w,49:11
52,"In My Place (Live at Live 8, Hyde Park, London, 2nd July 2005)",1,Coldplay,https://music.youtube.com/watch?v=BojSN_6oWAI,04:01
53,Ink,18,Coldplay,https://music.youtube.com/watch?v=Qjo_x_8vrVY,68:42
54,Kaleidoscope,3,Coldplay,https://music.youtube.com/watch?v=h4ag7p5Tohw,05:36
55,Let Somebody Go,6,Coldplay,https://music.youtube.com/watch?v=ro-Lz-TI9W8,24:12
56,Let Somebody Go (Ofenbach Remix),1,Coldplay,https://music.youtube.com/watch?v=PjEjK_ou6eo,03:15
57,Life in Technicolor,1,Coldplay,https://music.youtube.com/watch?v=J2KMoOs3EsQ,02:30
58,Life in Technicolor ii,6,Coldplay,https://music.youtube.com/watch?v=mYUVT7yC8r8,24:36
59,Lost!,1,Coldplay,https://music.youtube.com/watch?v=IP2EDHRHPiI,03:57
60,Lost+ (with Jay-Z),1,Coldplay,https://music.youtube.com/watch?v=l0-sseWaI6A,04:17
61,Lovers in Japan,18,Coldplay,https://music.youtube.com/watch?v=tqx3U-I71Wk,123:36
62,Lovers in Japan (Osaka Sun Mix),1,Coldplay,https://music.youtube.com/watch?v=6di5YQemwXc,03:59
63,Magic,36,Coldplay,https://music.youtube.com/watch?v=219pQObZq2I,171:36
64,Midnight,2,Coldplay,https://music.youtube.com/watch?v=L5uqSeA_bps,09:50
65,Miracles,2,Coldplay,https://music.youtube.com/watch?v=Sk2CfCgJYhY,07:52
66,Miracles (Someone Special),1,Coldplay,https://music.youtube.com/watch?v=9QriwkLu6H0,04:37
67,My Universe,13,Coldplay,https://music.youtube.com/watch?v=TaZkqPK0sbw,49:37
68,Mylo Xyloto,1,Coldplay,https://music.youtube.com/watch?v=YUy4awDXeSE,00:43
69,Now My Feet Won't Touch the Ground,1,Coldplay,https://music.youtube.com/watch?v=qneaDVwKwxI,02:28
70,O,13,Coldplay,https://music.youtube.com/watch?v=-gA3H3clEqk,70:12
71,Oceans,3,Coldplay,https://music.youtube.com/watch?v=D72bzPbZQrI,16:06
72,Paradise,38,Coldplay,https://music.youtube.com/watch?v=Q0TEUMPIhk8,176:42
73,Paradise (Live),3,Coldplay,https://music.youtube.com/watch?v=G_48qPINdkU,16:39
74,People of The Pride,4,Coldplay,https://music.youtube.com/watch?v=O6p2Zf6sx4Q,14:32
75,Politik,10,Coldplay,https://music.youtube.com/watch?v=GOrADSEKb_k,53:10
76,Postcards from Far Away,13,Coldplay,https://music.youtube.com/watch?v=v77Fz9Fp4CA,10:37
77,Princess of China,23,Coldplay,https://music.youtube.com/watch?v=GRK14J_we5k,92:00
78,Princess of China (Live),1,Coldplay,https://music.youtube.com/watch?v=CNSGKGqqa_E,03:49
79,Princess of China (Radio Edit),6,Coldplay,https://music.youtube.com/watch?v=glpV9-ZOAjc,21:48
80,Prospekt's March / Poppyfields,1,Coldplay,https://music.youtube.com/watch?v=rKxbDGcIkgM,03:40
81,Rainy Day,1,Coldplay,https://music.youtube.com/watch?v=S0BqhVxZGUk,03:27
82,Shiver,9,Coldplay,https://music.youtube.com/watch?v=ujbS9mHRXDw,45:45
83,Something Just Like This (Tokyo Remix),1,Coldplay,https://music.youtube.com/watch?v=E0L_oTBvawk,04:34
84,Sparks,6,Coldplay,https://music.youtube.com/watch?v=1aokooixKIo,22:48
85,Speed of Sound,12,Coldplay,https://music.youtube.com/watch?v=04tC72kZM_o,57:36
86,Spies,1,Coldplay,https://music.youtube.com/watch?v=25s17jID6gs,05:19
87,Square One,7,Coldplay,https://music.youtube.com/watch?v=j37GED-AR3M,33:36
88,Strawberry Swing,20,Coldplay,https://music.youtube.com/watch?v=2RY5g6kAXT8,83:20
89,Sunrise,12,Coldplay,https://music.youtube.com/watch?v=L0WWfY0_970,30:24
90,Swallowed in the Sea,4,Coldplay,https://music.youtube.com/watch?v=f-cyxWKzxVQ,16:00
91,Talk,15,Coldplay,https://music.youtube.com/watch?v=FC_WRm3qA0Q,78:00
92,The Hardest Part,2,Coldplay,https://music.youtube.com/watch?v=yeGtvyHl9oY,08:46
93,The Scientist,20,Coldplay,https://music.youtube.com/watch?v=gm-Y9idMMQ4,103:20
94,Til Kingdom Come,1,Coldplay,https://music.youtube.com/watch?v=E0UN-pVTLf4,04:11
95,Trouble,18,Coldplay,https://music.youtube.com/watch?v=oSBSpSOh6lQ,82:12
96,Trouble In Town,1,Coldplay,https://music.youtube.com/watch?v=7ZAKyFE5QD0,04:39
97,True Love,3,Coldplay,https://music.youtube.com/watch?v=d-6kIWaHwiY,12:18
98,Twisted Logic,1,Coldplay,https://music.youtube.com/watch?v=jLedhA6rMBg,04:32
99,Up & Up,5,Coldplay,https://music.youtube.com/watch?v=qyNSAIESgn0,33:50
100,Up with the Birds,1,Coldplay,https://music.youtube.com/watch?v=AKlSE32BjZg,03:46
101,Violet Hill,23,Coldplay,https://music.youtube.com/watch?v=srg63poeoqQ,85:29
102,Viva La Vida,19,Coldplay,https://music.youtube.com/watch?v=HGorCGszxZU,76:57
103,WOTW / POTP,1,Coldplay,https://music.youtube.com/watch?v=1MLkS5eu_A0,01:17
104,Warning Sign,5,Coldplay,https://music.youtube.com/watch?v=xtQirM784oM,27:40
105,We All Fall In Love Sometimes,1,Coldplay,https://music.youtube.com/watch?v=cn4pcUiUURU,04:00
106,We Never Change,2,Coldplay,https://music.youtube.com/watch?v=OCthmb-m52E,08:20
107,What If,1,Coldplay,https://music.youtube.com/watch?v=tH-GPdkkNik,04:59
108,When I Need A Friend,1,Coldplay,https://music.youtube.com/watch?v=Dmn65JpnjtQ,02:35
109,Yellow,12,Coldplay,https://music.youtube.com/watch?v=9qnqYL0eNNI,53:24
110,Yes,16,Coldplay,https://music.youtube.com/watch?v=N9hpzrA-27c,113:52
111,feelslikeimfallinginlove,2,Coldplay,https://music.youtube.com/watch?v=mG5jXd3MlE0,07:56
112,بنی آدم,2,Coldplay,https://music.youtube.com/watch?v=I_TLIuvXFkc,06:30
113,∞,2,Coldplay,https://music.youtube.com/watch?v=MBiTIvXibOk,07:34
114,♡,3,Coldplay,https://music.youtube.com/watch?v=fpUw52061Jk,09:27
115,❍,1,Coldplay,https://music.youtube.com/watch?v=JFFb3ufciL0,00:22
116,⦵,2,Coldplay,https://music.youtube.com/watch?v=cZYKKcof30Q,01:48
117,TOTALS,890,,,4060:49
