,title,count,artist,url,Duration
0,Berzerk,3,Eminem,https://music.youtube.com/watch?v=hO0TuYMIsGg,11:57
1,Black Magic,2,Eminem,https://music.youtube.com/watch?v=sFfbh98oP-Y,05:50
2,Godzilla,3,Eminem,https://music.youtube.com/watch?v=nbqMIBYJlvk,10:33
3,Houdini,1,Eminem,https://music.youtube.com/watch?v=xIQpLlYC8xA,03:48
4,Killer,1,Eminem,https://music.youtube.com/watch?v=LKsOfih73yc,03:16
5,Leaving Heaven,1,Eminem,https://music.youtube.com/watch?v=W9ibCAoG22k,04:26
6,Lose Yourself,20,Eminem,https://music.youtube.com/watch?v=zlJ0Aj9y67c,107:00
7,"Lose Yourself (From ""8 Mile"" Soundtrack)",2,Eminem,https://music.youtube.com/watch?v=Wj7lL6eDOqc,10:44
8,Love The Way You Lie,2,Eminem,https://music.youtube.com/watch?v=cgeDz3k8QTc,08:48
9,Mockingbird,1,Eminem,https://music.youtube.com/watch?v=9kznlAwE-8o,04:11
10,Not Afraid,1,Eminem,https://music.youtube.com/watch?v=-grPV-Fae6I,04:09
11,Rap God,1,Eminem,https://music.youtube.com/watch?v=MBJFPq2Llps,06:04
12,Shake That,1,Eminem,https://music.youtube.com/watch?v=xWYC4dBBuM4,04:35
13,Superman,1,Eminem,https://music.youtube.com/watch?v=K_8yRH2KPVo,05:51
14,The Monster,2,Eminem,https://music.youtube.com/watch?v=SQVkYgkMzhY,08:22
15,The Real Slim Shady,2,Eminem,https://music.youtube.com/watch?v=r5MR7_INQwg,09:30
16,Till I Collapse,2,Eminem,https://music.youtube.com/watch?v=Obim8BYGnOE,09:56
17,Without Me,3,Eminem,https://music.youtube.com/watch?v=tqxRidAWER8,14:33
18,Zeus,1,Eminem,https://music.youtube.com/watch?v=xEd1WsRKikw,03:51
19,TOTALS,50,,,237:24
