,Unnamed: 0,title,count,artist,url,Duration,Album
0,0,A Breaux's Tale,2,Jazmine Sullivan,https://music.youtube.com/watch?v=vFvJ3OXIopQ,01:26,"Heaux Tales, Mo' Tales: The Deluxe"
1,1,After The Hurricane,1,Jazmine Sullivan,https://music.youtube.com/watch?v=pObNbiZM4QI,03:59,Fearless
2,2,Amanda's Tale,3,Jazmine Sullivan,https://music.youtube.com/watch?v=4ttV9rMvS5E,01:54,Heaux Tales
3,3,Antoinette's Tale,7,Jazmine Sullivan,https://music.youtube.com/watch?v=B-yrXyYsw-k,04:26,Heaux Tales
4,4,Ari's Tale,8,Jazmine Sullivan,https://music.youtube.com/watch?v=xbgW02FZBZk,06:40,Heaux Tales
5,5,BPW,2,Jazmine Sullivan,https://music.youtube.com/watch?v=GEkkJ7q77h4,06:46,"Heaux Tales, Mo' Tales: The Deluxe"
6,6,Bodies (Intro),16,Jazmine Sullivan,https://music.youtube.com/watch?v=YYRpVVNx_aQ,32:32,Heaux Tales
7,7,Bust Your Windows,7,Jazmine Sullivan,https://music.youtube.com/watch?v=JdiuwkJ9jyQ,31:09,Fearless
8,8,Call Me Guilty,4,Jazmine Sullivan,https://music.youtube.com/watch?v=EmOVRy0Y7lI,13:40,Fearless
9,9,Donna's Tale,1,Jazmine Sullivan,https://music.youtube.com/watch?v=8dmR4ixoYUI,01:11,Heaux Tales
10,10,Dream Big,1,Jazmine Sullivan,https://music.youtube.com/watch?v=y0-_DsBfXCk,03:36,Dream Big
11,11,Fear,2,Jazmine Sullivan,https://music.youtube.com/watch?v=SCCFhtWA0Mg,07:48,DAMN. COLLECTORS EDITION.
12,12,Girl Like Me,3,Jazmine Sullivan,https://music.youtube.com/watch?v=FDtrKKfOTiw,11:15,TRANSLATION
13,13,Hurt Me So Good,3,Jazmine Sullivan,https://music.youtube.com/watch?v=3MBU6itYA3o,10:36,"Heaux Tales, Mo' Tales: The Deluxe"
14,14,In Love With Another Man,4,Jazmine Sullivan,https://music.youtube.com/watch?v=bidTG_y8IYY,16:44,Fearless
15,15,Insecure,4,Jazmine Sullivan,https://music.youtube.com/watch?v=0XyM4-KjA_I,14:36,Insecure
16,16,Issa's Tale,2,Jazmine Sullivan,https://music.youtube.com/watch?v=wCFGp7_Qnvw,02:22,"Heaux Tales, Mo' Tales: The Deluxe"
17,17,Jazzy's Tale,2,Jazmine Sullivan,https://music.youtube.com/watch?v=E-fhuWs_boA,01:38,"Heaux Tales, Mo' Tales: The Deluxe"
18,18,Let It Burn,1,Jazmine Sullivan,https://music.youtube.com/watch?v=PCj0drI6pQQ,03:44,Confessions (Expanded Edition)
19,19,"Lions, Tigers & Bears",7,Jazmine Sullivan,https://music.youtube.com/watch?v=OT1Sse7soO4,29:24,Fearless
20,20,Live A Lie,1,Jazmine Sullivan,https://music.youtube.com/watch?v=lhV9BhWYzac,03:16,Live A Lie
21,21,Lost One,4,Jazmine Sullivan,https://music.youtube.com/watch?v=At6roNZl5Qw,11:56,Kingdom Come
22,22,Mascara,2,Jazmine Sullivan,https://music.youtube.com/watch?v=QVIytgj8GV4,08:26,Máscara
23,23,Mona's Tale,1,Jazmine Sullivan,https://music.youtube.com/watch?v=c7NkDfoDs0s,00:26,"Heaux Tales, Mo' Tales: The Deluxe"
24,24,My Foolish Heart,3,Jazmine Sullivan,https://music.youtube.com/watch?v=I6AnvkPiR1c,10:54,Fearless
25,25,Need U Bad,5,Jazmine Sullivan,https://music.youtube.com/watch?v=N8yvqlp3nH8,21:30,Fearless
26,26,On It,5,Jazmine Sullivan,https://music.youtube.com/watch?v=bYFfQpnBauM,17:05,Heaux Tales
27,27,One Night Stand,3,Jazmine Sullivan,https://music.youtube.com/watch?v=UOrcvXq7VP4,10:33,Crunk Juice
28,28,Pick Up Your Feelings,23,Jazmine Sullivan,https://music.youtube.com/watch?v=d0zfruxYGnA,88:10,Pick Up Your Feelings
29,29,Precious' Tale,3,Jazmine Sullivan,https://music.youtube.com/watch?v=T9Aann_NmYU,02:12,Heaux Tales
30,30,Price Tags,2,Jazmine Sullivan,https://music.youtube.com/watch?v=IF8TC4HD8_g,08:48,Who You Are
31,31,Put It Down,3,Jazmine Sullivan,https://music.youtube.com/watch?v=qXUUwWN1Hkg,10:06,Epiphany (Expanded Edition)
32,32,Rashida's Tale,4,Jazmine Sullivan,https://music.youtube.com/watch?v=cFUWKQfY5d8,04:04,Heaux Tales
33,33,Roster,3,Jazmine Sullivan,https://music.youtube.com/watch?v=ZHi-wn7vqBk,11:00,Dirt (2022 Remaster)
34,34,Selfish,2,Jazmine Sullivan,https://music.youtube.com/watch?v=n5XXJNe3IW0,07:42,GTTM: Goin Thru the Motions
35,35,Shanti's Tale,1,Jazmine Sullivan,https://music.youtube.com/watch?v=HChkhXdlClE,00:42,"Heaux Tales, Mo' Tales: The Deluxe"
36,36,"Stand Up (From the Original Motion Picture ""Till"")",2,Jazmine Sullivan,https://music.youtube.com/watch?v=mvBjtQlzfDc,07:30,"Stand Up (From the Original Motion Picture ""Till"")"
37,37,Switch!,1,Jazmine Sullivan,https://music.youtube.com/watch?v=xY0BDEINk0E,03:02,Switch II
38,38,The Other Side,3,Jazmine Sullivan,https://music.youtube.com/watch?v=qjwF3NUL7K0,10:54,The Greatest Showman (Original Motion Picture Soundtrack)
39,39,Tragic,3,Jazmine Sullivan,https://music.youtube.com/watch?v=6gcUVQw6vac,10:18,"Heaux Tales, Mo' Tales: The Deluxe"
40,40,TOTALS,154,,,454:00,
