,title,count,artist,url,Duration
0,After The Storm,6,Kali Uchis,https://music.youtube.com/watch?v=vgOTxZtlXys,20:48
1,All Mine,28,Kali Uchis,https://music.youtube.com/watch?v=5OsZVl2Mk_s,98:00
2,Blue,32,Kali Uchis,https://music.youtube.com/watch?v=1IixT31HXog,102:56
3,Como Te Quiero Yo,12,Kali Uchis,https://music.youtube.com/watch?v=K169iu0XzIA,27:00
4,Dead To Me,5,Kali Uchis,https://music.youtube.com/watch?v=OcUDK4kAUIw,16:40
5,Deserve Me,14,Kali Uchis,https://music.youtube.com/watch?v=AQ56rD2M9LI,62:04
6,Endlessly,27,Kali Uchis,https://music.youtube.com/watch?v=dpv2xnih9Nk,70:12
7,Fantasy,25,Kali Uchis,https://music.youtube.com/watch?v=qNs0GjfzXvI,74:35
8,Happy Now,14,Kali Uchis,https://music.youtube.com/watch?v=GRQmq4woaB8,53:40
9,Hasta Cuando,14,Kali Uchis,https://music.youtube.com/watch?v=6UA3Y7d4oqw,30:20
10,I Wish you Roses,21,Kali Uchis,https://music.youtube.com/watch?v=ef7416XadY8,79:06
11,Just A Stranger,1,Kali Uchis,https://music.youtube.com/watch?v=MERKDv3SFOk,02:58
12,Killer,1,Kali Uchis,https://music.youtube.com/watch?v=0ltsOzmZd_Y,02:53
13,Love Between...,26,Kali Uchis,https://music.youtube.com/watch?v=OYZCKYZKopg,67:36
14,Melting,2,Kali Uchis,https://music.youtube.com/watch?v=_QGIzmtIr3E,06:58
15,Moonlight,38,Kali Uchis,https://music.youtube.com/watch?v=f9Hg8Mgv64o,119:04
16,Moral Conscience,31,Kali Uchis,https://music.youtube.com/watch?v=V-8EbJKt7mo,110:03
17,Muñekita,4,Kali Uchis,https://music.youtube.com/watch?v=6Q55YPG-FgE,14:40
18,Not Too Late (interlude),20,Kali Uchis,https://music.youtube.com/watch?v=jb4O1_WJv38,52:00
19,Tomorrow,1,Kali Uchis,https://music.youtube.com/watch?v=a-CS-j87w5o,03:11
20,Worth the Wait,29,Kali Uchis,https://music.youtube.com/watch?v=w9tX69PqVY8,72:59
21,honey baby (SPOILED!),2,Kali Uchis,https://music.youtube.com/watch?v=-_u6nCg4pLA,04:10
22,i want war (BUT I NEED PEACE),1,Kali Uchis,https://music.youtube.com/watch?v=KGCMI22hu3k,02:40
23,in My Garden...,19,Kali Uchis,https://music.youtube.com/watch?v=fO19RnQAhJw,08:14
24,no eres tu (soy yo),2,Kali Uchis,https://music.youtube.com/watch?v=qsAdmtVoTKM,04:04
25,quiero sentirme bien,3,Kali Uchis,https://music.youtube.com/watch?v=zqvDXXjKGIw,11:09
26,telepatía,12,Kali Uchis,https://music.youtube.com/watch?v=DCEVC_sr5Go,32:12
27,vaya con dios,6,Kali Uchis,https://music.youtube.com/watch?v=rdg8BA5UNWQ,17:36
28,TOTALS,396,,,1167:48
