,title,count,artist,url,Duration
0,24,2,Kanye West,https://music.youtube.com/watch?v=XhvSHlvLOvc,06:36
1,All Falls Down,2,Kanye West,https://music.youtube.com/watch?v=uHcP8XX5IJA,07:28
2,All Mine,1,Kanye West,https://music.youtube.com/watch?v=YdA7swZoxks,02:26
3,All Of The Lights,3,Kanye West,https://music.youtube.com/watch?v=DTq4XEliPag,15:00
4,All Of The Lights (Interlude),2,Kanye West,https://music.youtube.com/watch?v=WHxRd_va950,02:06
5,Amazing,3,Kanye West,https://music.youtube.com/watch?v=KaumK4b6DqQ,11:57
6,Barry Bonds,1,Kanye West,https://music.youtube.com/watch?v=6QARCF_dvWo,03:25
7,Black Skinhead,1,Kanye West,https://music.youtube.com/watch?v=LXeQ6bmV7oU,03:09
8,Blame Game,1,Kanye West,https://music.youtube.com/watch?v=6mp72xUirfs,07:50
9,Blood On The Leaves,1,Kanye West,https://music.youtube.com/watch?v=KEA0btSNkpw,06:00
10,Bound 2,2,Kanye West,https://music.youtube.com/watch?v=5gjKuISTMRE,07:40
11,Can't Tell Me Nothing,3,Kanye West,https://music.youtube.com/watch?v=dx1qcgUNmdo,13:36
12,Champion,2,Kanye West,https://music.youtube.com/watch?v=qJpprwtl070,05:36
13,Closed On Sunday,13,Kanye West,https://music.youtube.com/watch?v=Lp0q1wWe6XI,32:56
14,Coldest Winter,5,Kanye West,https://music.youtube.com/watch?v=tpT7H7qIHIo,13:45
15,Come to Life,1,Kanye West,https://music.youtube.com/watch?v=kVQu2ZGDdyw,05:11
16,Dark Fantasy,3,Kanye West,https://music.youtube.com/watch?v=UTH1VNHLjng,14:03
17,Devil In A New Dress,4,Kanye West,https://music.youtube.com/watch?v=sk3rpYkiHe8,23:28
18,Donda,8,Kanye West,https://music.youtube.com/watch?v=RFAKl20eBIk,17:12
19,Donda Chant,1,Kanye West,https://music.youtube.com/watch?v=J8k-73s2fHw,00:53
20,Every Hour,1,Kanye West,https://music.youtube.com/watch?v=T58tRXzjC7c,01:53
21,Everything I Am,1,Kanye West,https://music.youtube.com/watch?v=1ey-fHASEuQ,03:48
22,FML,3,Kanye West,https://music.youtube.com/watch?v=SHfB5HBFeTc,11:51
23,Facts (Charlie Heat Version),1,Kanye West,https://music.youtube.com/watch?v=yiwDWKg9AMA,03:21
24,Fade,1,Kanye West,https://music.youtube.com/watch?v=qOZ0hPp3OZU,03:14
25,Famous,7,Kanye West,https://music.youtube.com/watch?v=Lq2TmRzg19k,22:59
26,Father Stretch My Hands Pt. 1,2,Kanye West,https://music.youtube.com/watch?v=wuO4_P_8p-Q,04:32
27,Feedback,2,Kanye West,https://music.youtube.com/watch?v=Q-fluWQ6zW8,04:56
28,Flashing Lights,8,Kanye West,https://music.youtube.com/watch?v=hLRUVURf4NU,31:44
29,Follow God,1,Kanye West,https://music.youtube.com/watch?v=J8iXDK0K95o,01:45
30,Freestyle 4,2,Kanye West,https://music.youtube.com/watch?v=yt3rfHIijZQ,04:08
31,Ghost Town,3,Kanye West,https://music.youtube.com/watch?v=5S6az6odzPI,13:36
32,Gold Digger,1,Kanye West,https://music.youtube.com/watch?v=uVL4d8P44eM,03:28
33,Gorgeous,10,Kanye West,https://music.youtube.com/watch?v=miJAfs7jhak,59:40
34,Heard 'Em Say,1,Kanye West,https://music.youtube.com/watch?v=R6dH8iBHzb4,03:24
35,Heartless,4,Kanye West,https://music.youtube.com/watch?v=s40BTpfAELs,14:04
36,Heaven and Hell,10,Kanye West,https://music.youtube.com/watch?v=Vn0soMSMBbg,24:20
37,Hey Mama,1,Kanye West,https://music.youtube.com/watch?v=B3NmMKfl3Ic,05:06
38,Highlights,5,Kanye West,https://music.youtube.com/watch?v=AXz78NYL4r4,16:40
39,Hold My Liquor,4,Kanye West,https://music.youtube.com/watch?v=bvBfiRWLj_0,21:48
40,Homecoming,2,Kanye West,https://music.youtube.com/watch?v=YOzAdMs5dEc,06:48
41,Hurricane,6,Kanye West,https://music.youtube.com/watch?v=1S9wGH2BDDU,24:24
42,I Love Kanye,3,Kanye West,https://music.youtube.com/watch?v=ch8g-sJb6ow,02:15
43,I Thought About Killing You,1,Kanye West,https://music.youtube.com/watch?v=no1YszVVybo,04:35
44,I Wonder,3,Kanye West,https://music.youtube.com/watch?v=MxEjnYdfLXU,12:12
45,I'm In It,1,Kanye West,https://music.youtube.com/watch?v=_jZuz3NEr18,03:55
46,Jail,2,Kanye West,https://music.youtube.com/watch?v=2n89HaWYrxo,09:54
47,Jail pt 2,1,Kanye West,https://music.youtube.com/watch?v=uaOG8roHTX4,04:57
48,Jesus Lord,1,Kanye West,https://music.youtube.com/watch?v=mnSBXMc0Q3k,08:59
49,Jonah,4,Kanye West,https://music.youtube.com/watch?v=1ZroKhSYF08,13:04
50,Life Of The Party,2,Kanye West,https://music.youtube.com/watch?v=0ZJzk2gaIVs,13:04
51,Lost In The World,2,Kanye West,https://music.youtube.com/watch?v=1Dzh0XkuNPg,08:34
52,Love Lockdown,3,Kanye West,https://music.youtube.com/watch?v=ek_T6atbfe0,13:33
53,Low Lights,2,Kanye West,https://music.youtube.com/watch?v=wj0C2oet2r0,04:24
54,Mercy,2,Kanye West,https://music.youtube.com/watch?v=YGiBUN6EjCo,11:00
