,title,count,artist,url,Duration,Album
0,A.D.H.D,7,Kendrick Lamar,https://music.youtube.com/watch?v=MzhJxn2g8KI,25:12,Section.80
1,All The Stars,6,Kendrick Lamar,https://music.youtube.com/watch?v=vdXsLt0o_9g,23:18,Black Panther The Album Music From And Inspired By
2,Alright,2,Kendrick Lamar,https://music.youtube.com/watch?v=67vr-3kpX3Q,07:20,To Pimp A Butterfly
3,Auntie Diaries,1,Kendrick Lamar,https://music.youtube.com/watch?v=xRICgYPuZhs,04:42,Mr. Morale & The Big Steppers
4,"Bitch, Don’t Kill My Vibe",3,Kendrick Lamar,https://music.youtube.com/watch?v=3_Eoe7YtSFI,15:33,"good kid, m.A.A.d. city"
5,Count Me Out,3,Kendrick Lamar,https://music.youtube.com/watch?v=XUHiywqaF-c,14:12,Mr. Morale & The Big Steppers
6,Crown,2,Kendrick Lamar,https://music.youtube.com/watch?v=1k_D4EzEimM,08:50,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?"
7,DNA.,3,Kendrick Lamar,https://music.youtube.com/watch?v=Fb3j_yuFh1s,09:18,DAMN. COLLECTORS EDITION.
8,DUCKWORTH.,1,Kendrick Lamar,https://music.youtube.com/watch?v=ei-5p50w17s,04:09,DAMN. COLLECTORS EDITION.
9,Die Hard,8,Kendrick Lamar,https://music.youtube.com/watch?v=SQWybgEZEog,32:00,Mr. Morale & The Big Steppers
10,Father Time,4,Kendrick Lamar,https://music.youtube.com/watch?v=Mm0xiqOmM3s,14:52,Mr. Morale & The Big Steppers
11,HUMBLE.,8,Kendrick Lamar,https://music.youtube.com/watch?v=H4RELGc9su8,23:36,DAMN. COLLECTORS EDITION.
12,Hol' Up,1,Kendrick Lamar,https://music.youtube.com/watch?v=zHmE1ArPdUM,02:54,Section.80
13,King Kunta,1,Kendrick Lamar,https://music.youtube.com/watch?v=g0NVaX8DRN4,03:55,To Pimp A Butterfly
14,LOYALTY.,1,Kendrick Lamar,https://music.youtube.com/watch?v=ZxGMK9Hb6n8,03:48,DAMN. COLLECTORS EDITION.
15,LUST.,1,Kendrick Lamar,https://music.youtube.com/watch?v=qUx8EwR0Otg,05:08,MCMXC a.D.
16,Mirror,1,Kendrick Lamar,https://music.youtube.com/watch?v=6P5qtD__2nI,04:17,The 20/20 Experience (Deluxe Version)
17,Money Trees,14,Kendrick Lamar,https://music.youtube.com/watch?v=0nF69UTw99E,90:18,"good kid, m.A.A.d. city"
18,Mother I Sober,1,Kendrick Lamar,https://music.youtube.com/watch?v=53fcQsexZ70,06:47,Mr. Morale & The Big Steppers
19,Mr. Morale,1,Kendrick Lamar,https://music.youtube.com/watch?v=tbOdOjHib-k,03:31,Mr. Morale & The Big Steppers
20,N95,10,Kendrick Lamar,https://music.youtube.com/watch?v=QJZh0j3pQ5Y,32:40,Mr. Morale & The Big Steppers
21,Not Like Us,1,Kendrick Lamar,https://music.youtube.com/watch?v=phLb_SoPBlA,04:35,Not Like Us
22,PRIDE.,2,Kendrick Lamar,https://music.youtube.com/watch?v=J87pJrxvJ5E,09:12,DAMN. COLLECTORS EDITION.
23,Purple Hearts,3,Kendrick Lamar,https://music.youtube.com/watch?v=Gy8IXZ5bpio,16:30,"Come Back Home (From ""Purple Hearts"")"
24,Rich (Interlude),2,Kendrick Lamar,https://music.youtube.com/watch?v=pbGgcE32xTA,03:28,Mr. Morale & The Big Steppers
25,Rich Spirit,8,Kendrick Lamar,https://music.youtube.com/watch?v=wgj5FkJEBCc,27:04,Mr. Morale & The Big Steppers
26,Savior,2,Kendrick Lamar,https://music.youtube.com/watch?v=aWWYTP_PckU,07:30,Appeal To Reason
27,Savior (Interlude),2,Kendrick Lamar,https://music.youtube.com/watch?v=Osk-uxrKbEM,05:06,Mr. Morale & The Big Steppers
28,Silent Hill,2,Kendrick Lamar,https://music.youtube.com/watch?v=ZMz4N7SmrVo,07:22,Mr. Morale & The Big Steppers
29,"Sing About Me, I'm Dying Of Thirst",3,Kendrick Lamar,https://music.youtube.com/watch?v=9-XbXBq8cl8,36:12,"good kid, m.A.A.d. city"
30,Swimming Pools (Drank),1,Kendrick Lamar,https://music.youtube.com/watch?v=T_OWvLDIyno,04:08,Swimming Pools (Drank)
31,The Heart Part 5,4,Kendrick Lamar,https://music.youtube.com/watch?v=kAbhILeXwGE,22:12,Mr. Morale & The Big Steppers
32,United In Grief,7,Kendrick Lamar,https://music.youtube.com/watch?v=ZsqDjzwJfxw,29:52,Mr. Morale & The Big Steppers
33,We Cry Together,2,Kendrick Lamar,https://music.youtube.com/watch?v=yozIRTvHwGs,11:24,Mr. Morale & The Big Steppers
34,Worldwide Steppers,4,Kendrick Lamar,https://music.youtube.com/watch?v=q7o7kml3cxA,13:36,Mr. Morale & The Big Steppers
35,YAH.,1,Kendrick Lamar,https://music.youtube.com/watch?v=kL9QqLugfLU,02:41,The Gospel of the Kingdom
36,untitled 01 | 08.19.2014.,3,Kendrick Lamar,https://music.youtube.com/watch?v=oIoZgIOgu3o,12:24,untitled unmastered.
37,untitled 02 | 06.23.2014.,17,Kendrick Lamar,https://music.youtube.com/watch?v=_GghFQ8ryEU,73:23,untitled unmastered.
38,untitled 03 | 05.28.2013.,3,Kendrick Lamar,https://music.youtube.com/watch?v=o4M4qssoaWU,07:45,untitled unmastered.
39,untitled 04 | 08.14.2014.,3,Kendrick Lamar,https://music.youtube.com/watch?v=82Cqp-kyrQs,05:33,untitled unmastered.
40,untitled 05 | 09.21.2014.,2,Kendrick Lamar,https://music.youtube.com/watch?v=inOEtUwSasc,11:18,untitled unmastered.
41,untitled 06 | 06.30.2014.,1,Kendrick Lamar,https://music.youtube.com/watch?v=fZ2pXyBBwsQ,03:29,untitled unmastered.
42,untitled 07 | 2014 - 2016,11,Kendrick Lamar,https://music.youtube.com/watch?v=kSWZJDBkN98,91:07,untitled unmastered.
43,untitled 08 | 09.06.2014.,10,Kendrick Lamar,https://music.youtube.com/watch?v=JXikcHwPolM,39:20,untitled unmastered.
44,TOTALS,173,,,781:31,
