,title,count,artist,url,Duration
0,All For Us,5,Labrinth,https://music.youtube.com/watch?v=4H0Ytxg4-kQ,16:00
1,All For Us (from the HBO Original Series Euphoria),4,Labrinth,https://music.youtube.com/watch?v=Z5jWsM07fuI,12:52
2,Arriving at the Formal,1,Labrinth,https://music.youtube.com/watch?v=278GAqX7A6E,05:59
3,At Least I'm Loved,7,Labrinth,https://music.youtube.com/watch?v=Mvw8ySMNsV4,16:34
4,Beneath Your Beautiful,1,Labrinth,https://music.youtube.com/watch?v=u-izIxuQXpg,04:32
5,Demanding Excellence,5,Labrinth,https://music.youtube.com/watch?v=q4YBif5TytM,17:35
6,Dracula (Nate Sees Cassie),9,Labrinth,https://music.youtube.com/watch?v=mwKR4DriaHU,25:21
7,El Weirdo (I Relapsed),8,Labrinth,https://music.youtube.com/watch?v=YOkg8yEQNA8,15:52
8,Euphoria Funfair,1,Labrinth,https://music.youtube.com/watch?v=N6AhDiWBVMc,10:08
9,Every Second Counts,7,Labrinth,https://music.youtube.com/watch?v=1vhDgBW5oLM,21:07
10,Family Vacation,1,Labrinth,https://music.youtube.com/watch?v=fDDPg1YvwfI,00:23
11,Fez's Interlude,7,Labrinth,https://music.youtube.com/watch?v=cxL3M7fKfyM,07:14
12,Following Tyler,1,Labrinth,https://music.youtube.com/watch?v=zmZLKMhBGio,01:29
13,Forever,7,Labrinth,https://music.youtube.com/watch?v=DA9lef8ap18,23:41
14,Formula,7,Labrinth,https://music.youtube.com/watch?v=aNM3ZUcRQLI,10:44
15,Fun At The Alley,6,Labrinth,https://music.youtube.com/watch?v=HG9e5LVY6RE,12:30
16,Gangster,1,Labrinth,https://music.youtube.com/watch?v=8ErwXi4gyR0,02:31
17,Grapefruit Diet,1,Labrinth,https://music.youtube.com/watch?v=oAUfXelibe0,01:36
18,Home From Rehab,1,Labrinth,https://music.youtube.com/watch?v=kH1pMpRDf7M,00:44
19,I Don't Know If I'm a Good Person,6,Labrinth,https://music.youtube.com/watch?v=AORhMBF9kLQ,03:18
20,I'm Tired (Bonus Track),12,Labrinth,https://music.youtube.com/watch?v=KpfaZ25hOj0,37:36
21,I'm Tired (Long Version),11,Labrinth,https://music.youtube.com/watch?v=y2ZYZePW_94,38:52
22,ICE (We Should Do Drugs),8,Labrinth,https://music.youtube.com/watch?v=hS_6fuYHhm4,22:08
23,Imagination,1,Labrinth,https://music.youtube.com/watch?v=qkgHHNfdKX8,01:31
24,Jealous,4,Labrinth,https://music.youtube.com/watch?v=0m3oEecqkLU,19:12
25,Kat's Denial,1,Labrinth,https://music.youtube.com/watch?v=UvmHnfzWKC0,01:31
26,Kill For Your Love,1,Labrinth,https://music.youtube.com/watch?v=Wp2W_kNh3N8,03:12
27,Love Is Complicated (The Angels Sing),9,Labrinth,https://music.youtube.com/watch?v=uOjjnMeGfZY,30:00
28,Maddy's Story,1,Labrinth,https://music.youtube.com/watch?v=EHfN84BqSmY,04:52
29,McKay & Cassie,1,Labrinth,https://music.youtube.com/watch?v=uoc9zkDAC1k,01:33
30,Misbehaving,1,Labrinth,https://music.youtube.com/watch?v=NP4AZDbdQYY,03:49
31,Mount Everest,4,Labrinth,https://music.youtube.com/watch?v=8GMtrpjPmQQ,10:32
32,Mount Everest (Bonus Track),6,Labrinth,https://music.youtube.com/watch?v=vmsb73vBt08,15:48
33,Nate Growing Up,5,Labrinth,https://music.youtube.com/watch?v=YC1O7rBI8Sc,12:50
34,Never Felt So Alone,2,Labrinth,https://music.youtube.com/watch?v=S6zpJ-S_MTY,05:22
35,No Ordinary,1,Labrinth,https://music.youtube.com/watch?v=MPISh6g1YbY,03:05
36,Planning Date,1,Labrinth,https://music.youtube.com/watch?v=GviR-QDGwsI,01:42
37,Preparing For Call,1,Labrinth,https://music.youtube.com/watch?v=ZwZF0r_g4n0,00:29
38,Pros & Cons,7,Labrinth,https://music.youtube.com/watch?v=M_7Vwl7w_mM,24:09
39,Putting Everything Away,9,Labrinth,https://music.youtube.com/watch?v=oFoTXfNrKvI,06:36
40,Rue's I'm Tired,7,Labrinth,https://music.youtube.com/watch?v=bSrzlfwjdHI,16:06
41,Say Goodnight,1,Labrinth,https://music.youtube.com/watch?v=MsaUA9OmwpM,00:44
42,See You Assholes Later,11,Labrinth,https://music.youtube.com/watch?v=ITdwvBokOKc,27:41
43,She Certainly Looks the Part,10,Labrinth,https://music.youtube.com/watch?v=uncUb8OhJvE,08:10
44,Shy Guy,1,Labrinth,https://music.youtube.com/watch?v=try1pRRWrj0,01:26
45,Sidekicks Are Smarter,7,Labrinth,https://music.youtube.com/watch?v=rgn9CGFge0Y,02:34
46,Skeletons (Lexi Needed a Break),10,Labrinth,https://music.youtube.com/watch?v=jQrs4epOvdU,23:50
47,Slideshow,1,Labrinth,https://music.youtube.com/watch?v=Lb-HS24P35A,00:57
48,Still Don't Know My Name,8,Labrinth,https://music.youtube.com/watch?v=3TDHRSjR0s0,20:32
49,The Angels,13,Labrinth,https://music.youtube.com/watch?v=jyBeAwKL0GU,09:58
50,The Lake,1,Labrinth,https://music.youtube.com/watch?v=mq59_lcvgOg,03:46
51,This Is Life,8,Labrinth,https://music.youtube.com/watch?v=q2vlsJ_EO28,04:08
52,Truth or Dare,6,Labrinth,https://music.youtube.com/watch?v=hrzemg1MDeo,01:36
53,Virgin Pina Coladas,1,Labrinth,https://music.youtube.com/watch?v=HkZfnwI6Nlo,00:23
54,WTF Are We Talking For,1,Labrinth,https://music.youtube.com/watch?v=wJ3a2NogXtQ,02:52
55,Washing Off The Blood,5,Labrinth,https://music.youtube.com/watch?v=-XTy7-3Dl9g,15:40
56,We All Knew,1,Labrinth,https://music.youtube.com/watch?v=vN5fSaZD0v0,03:02
57,When I R.I.P.,6,Labrinth,https://music.youtube.com/watch?v=3g5m4V8tPGY,17:30
58,TOTALS,270,,,615:54
