,Unnamed: 0,title,count,artist,url,Duration,Album
0,0,Always Remember Us This Way,2,Lady Gaga,https://music.youtube.com/watch?v=Voo86mlxZvA,07:02,A Star Is Born Soundtrack (Without Dialogue)
1,1,Applause,2,Lady Gaga,https://music.youtube.com/watch?v=4cNaX8kFsUI,07:06,Applause
2,2,Bad Romance,3,Lady Gaga,https://music.youtube.com/watch?v=QdaG6pDOz5A,14:45,Bad Romance
3,3,Bloody Mary,11,Lady Gaga,https://music.youtube.com/watch?v=LxY6g-qQgV4,44:55,Born This Way (Special Edition)
4,4,Born This Way,1,Lady Gaga,https://music.youtube.com/watch?v=Nbxm3NysOlQ,04:21,Born This Way (Special Edition)
5,5,Hold My Hand,2,Lady Gaga,https://music.youtube.com/watch?v=nkzaMdWoqPU,07:32,"Hold My Hand (Music From The Motion Picture ""Top Gun: Maverick"")"
6,6,I'll Never Love (Extended Version - Radio Edit),2,Lady Gaga,https://music.youtube.com/watch?v=png9bvnZIeM,10:58,A Star Is Born Soundtrack (Without Dialogue)
7,7,I'll Never Love Again (Film Version - Radio Edit),1,Lady Gaga,https://music.youtube.com/watch?v=oOWqKsK8N3Y,04:42,A Star Is Born Soundtrack (Without Dialogue)
8,8,Just Dance,5,Lady Gaga,https://music.youtube.com/watch?v=ACNwMzZejQQ,20:10,The Fame
9,9,LoveGame,3,Lady Gaga,https://music.youtube.com/watch?v=EJilqoZ3ExY,10:51,The Fame
10,10,Marry The Night,3,Lady Gaga,https://music.youtube.com/watch?v=B1IZ-NTLORI,13:15,Born This Way (Special Edition)
11,11,Million Reasons,3,Lady Gaga,https://music.youtube.com/watch?v=tz9h3ZDFRxw,10:18,Joanne
12,12,Paparazzi,6,Lady Gaga,https://music.youtube.com/watch?v=28jp-30w8Lg,20:54,The Fame
13,13,Poker Face,2,Lady Gaga,https://music.youtube.com/watch?v=k2tTyQ_qcQQ,07:56,The Fame
14,14,Rain On Me,1,Lady Gaga,https://music.youtube.com/watch?v=DXnS8mqUDyQ,03:03,Chapter II
15,15,Shallow,2,Lady Gaga,https://music.youtube.com/watch?v=DPXHMBKY39M,07:12,A Star Is Born Soundtrack
16,16,Speechless,1,Lady Gaga,https://music.youtube.com/watch?v=B8bckfDCNU8,04:31,Aladdin (Original Motion Picture Soundtrack)
17,17,Telephone,3,Lady Gaga,https://music.youtube.com/watch?v=MRDlJNM7PBE,11:03,The Fame Monster (Deluxe Edition)
18,18,The Edge Of Glory,4,Lady Gaga,https://music.youtube.com/watch?v=t0yemidZdjg,21:24,Born This Way (Special Edition)
19,19,White Christmas (Live),1,Lady Gaga,https://music.youtube.com/watch?v=rchqbpMrRlM,03:23,White Christmas
20,20,You And I,2,Lady Gaga,https://music.youtube.com/watch?v=zLebtxWQ7sU,10:16,Midnight Memories (Deluxe)
21,21,Yoü And I,1,Lady Gaga,https://music.youtube.com/watch?v=PODYZ8igBSM,05:08,Born This Way (Special Edition)
22,22,TOTALS,61,,,250:45,
