,title,count,artist,url,Duration
0,13 Beaches,16,Lana Del Rey,https://music.youtube.com/watch?v=Mcvz8DnuoGI,78:56
1,24,22,Lana Del Rey,https://music.youtube.com/watch?v=pkIYYpAjsjo,108:32
2,A & W,6,Lana Del Rey,https://music.youtube.com/watch?v=3yJznDl8hPE,43:24
3,American,19,Lana Del Rey,https://music.youtube.com/watch?v=D7agM5nWJJI,78:51
4,Arcadia,5,Lana Del Rey,https://music.youtube.com/watch?v=HszNCAMsxoM,22:00
5,Art Deco,26,Lana Del Rey,https://music.youtube.com/watch?v=QbLGjeR9bvI,128:16
6,Bartender,1,Lana Del Rey,https://music.youtube.com/watch?v=ocKrWwWeHLQ,04:24
7,Beautiful,5,Lana Del Rey,https://music.youtube.com/watch?v=1qIwKdOJXp4,18:00
8,Beautiful People Beautiful Problems,3,Lana Del Rey,https://music.youtube.com/watch?v=Vs_sURGuYys,12:42
9,Bel Air,17,Lana Del Rey,https://music.youtube.com/watch?v=FVKU-NM6sBo,67:26
10,Black Bathing Suit,5,Lana Del Rey,https://music.youtube.com/watch?v=GDvzM-ufapA,26:35
11,Black Beauty,2,Lana Del Rey,https://music.youtube.com/watch?v=efwkzobSviA,10:30
12,Blue Banisters,3,Lana Del Rey,https://music.youtube.com/watch?v=yVd_AFQ-vRM,14:42
13,Blue Jeans,10,Lana Del Rey,https://music.youtube.com/watch?v=vJYjrITWTp4,35:00
14,Blue Jeans (Remastered 2011),6,Lana Del Rey,https://music.youtube.com/watch?v=IIk-DMRLHqQ,21:00
15,Blue Velvet,8,Lana Del Rey,https://music.youtube.com/watch?v=1ZCisbqnh5U,21:12
16,Body Electric,7,Lana Del Rey,https://music.youtube.com/watch?v=Y0m3tK1hsF4,27:18
17,Born To Die,9,Lana Del Rey,https://music.youtube.com/watch?v=FgO_pvl4Gfk,43:03
18,Breaking Up Slowly,1,Lana Del Rey,https://music.youtube.com/watch?v=zXjdYForPH4,02:58
19,Brooklyn Baby,10,Lana Del Rey,https://music.youtube.com/watch?v=ubuN28MsRrg,58:40
20,Buddy's Rendezvous,2,Lana Del Rey,https://music.youtube.com/watch?v=_6a1MSmfAy0,10:04
21,Burning Desire,13,Lana Del Rey,https://music.youtube.com/watch?v=w9v-WTHaDSw,50:16
22,Burnt Norton (Interlude),7,Lana Del Rey,https://music.youtube.com/watch?v=QbajAoqIsQg,09:34
23,California,1,Lana Del Rey,https://music.youtube.com/watch?v=vK1YiArMDfg,05:06
24,Candy Necklace,3,Lana Del Rey,https://music.youtube.com/watch?v=yp093Msi4NE,15:45
25,Carmen,11,Lana Del Rey,https://music.youtube.com/watch?v=2K2U5WrVwEk,45:39
26,Change,6,Lana Del Rey,https://music.youtube.com/watch?v=p0FdAM9knDo,32:12
27,Chemtrails Over The Country Club,2,Lana Del Rey,https://music.youtube.com/watch?v=gCw1f1GmPaU,09:04
28,Cherry,8,Lana Del Rey,https://music.youtube.com/watch?v=uNuMH2i6wdI,24:08
29,Cherry Blossom,2,Lana Del Rey,https://music.youtube.com/watch?v=Tyz5ZoSqJ4M,06:36
30,Cinnamon Girl,11,Lana Del Rey,https://music.youtube.com/watch?v=DCYmJDO2_IE,55:11
31,Coachella - Woodstock In My Mind,2,Lana Del Rey,https://music.youtube.com/watch?v=k5m_5aLISyU,08:38
32,Cola,22,Lana Del Rey,https://music.youtube.com/watch?v=1QKgMdY4wbg,95:42
33,Dance Till We Die,1,Lana Del Rey,https://music.youtube.com/watch?v=LvBbGwRu0wI,04:04
34,Dark But Just A Game,10,Lana Del Rey,https://music.youtube.com/watch?v=Dd_XGrM1Je4,39:20
35,Dark Paradise,11,Lana Del Rey,https://music.youtube.com/watch?v=vY1R6NyhiOQ,44:44
36,Dealer,5,Lana Del Rey,https://music.youtube.com/watch?v=pB8Yrt2x9KA,22:55
37,Did you know that there's a tunnel under Ocean Blvd,3,Lana Del Rey,https://music.youtube.com/watch?v=6VOW1JIHqXw,14:18
38,Diet Mountain Dew,25,Lana Del Rey,https://music.youtube.com/watch?v=Ll7lyat_F3M,92:55
39,Doin' Time,3,Lana Del Rey,https://music.youtube.com/watch?v=5NAlXos329A,10:09
40,Don't Let Me Be Misunderstood,2,Lana Del Rey,https://music.youtube.com/watch?v=9bAl93PPj54,06:04
41,Fingertips,3,Lana Del Rey,https://music.youtube.com/watch?v=oGQ5UqObf2M,17:27
42,Fishtail,2,Lana Del Rey,https://music.youtube.com/watch?v=CkAne7LPGn8,08:06
43,Florida Kilos,35,Lana Del Rey,https://music.youtube.com/watch?v=E4p3-IpaIzE,149:55
44,For Free,2,Lana Del Rey,https://music.youtube.com/watch?v=b9H0k9cejpc,08:24
45,Freak,25,Lana Del Rey,https://music.youtube.com/watch?v=Bai4lu6SUjk,123:20
46,Fuck it I love you,2,Lana Del Rey,https://music.youtube.com/watch?v=Qi8AGQKQ24U,07:18
47,Fucked My Way Up To The Top,1,Lana Del Rey,https://music.youtube.com/watch?v=TeUP_yGYbuY,03:33
48,Get Free,22,Lana Del Rey,https://music.youtube.com/watch?v=axRMZqUNVEw,122:50
49,God Bless America - And All The Beautiful Women In It,3,Lana Del Rey,https://music.youtube.com/watch?v=teSMNuuDnrs,13:51
50,God Knows I Tried,6,Lana Del Rey,https://music.youtube.com/watch?v=BT2atmOqvPc,28:06
51,Gods & Monsters,8,Lana Del Rey,https://music.youtube.com/watch?v=ORw5Sv0Ch-0,31:44
52,Grandfather please stand on the shoulders of my father while he's deep-sea fishing,2,Lana Del Rey,https://music.youtube.com/watch?v=92HmXTsTRQ8,08:02
53,Groupie Love,15,Lana Del Rey,https://music.youtube.com/watch?v=wZMiOemYyOY,66:15
54,Heroin,6,Lana Del Rey,https://music.youtube.com/watch?v=3-nW3luYvzc,35:36
55,High By The Beach,11,Lana Del Rey,https://music.youtube.com/watch?v=vTzVyELoinM,47:18
56,Honeymoon,5,Lana Del Rey,https://music.youtube.com/watch?v=tvHki0G32rs,29:15
57,How to disappear,2,Lana Del Rey,https://music.youtube.com/watch?v=WU_EGJOQ69o,07:38
58,If You Lie Down With Me,6,Lana Del Rey,https://music.youtube.com/watch?v=54viaF9tEXM,26:36
59,In My Feelings,22,Lana Del Rey,https://music.youtube.com/watch?v=jDj6orud0n8,87:38
60,Interlude - The Trio,2,Lana Del Rey,https://music.youtube.com/watch?v=L3ndWjWxGqQ,02:32
61,Jon Batiste Interlude,2,Lana Del Rey,https://music.youtube.com/watch?v=Hv9RVBW36ck,07:08
62,Judah Smith Interlude,2,Lana Del Rey,https://music.youtube.com/watch?v=gU_jcLfR0tU,09:14
63,Kintsugi,3,Lana Del Rey,https://music.youtube.com/watch?v=CcWMVyO4_A4,18:57
64,Lana Del Rey | Diet Mountain Dew (Demo),13,Lana Del Rey,https://music.youtube.com/watch?v=1FZ7DbQwVcw,47:40
65,Let Me Love You Like A Woman,1,Lana Del Rey,https://music.youtube.com/watch?v=9wkxyfyT-dQ,03:21
66,Let The Light In,4,Lana Del Rey,https://music.youtube.com/watch?v=3U58T-9ocq0,18:36
67,Living Legend,1,Lana Del Rey,https://music.youtube.com/watch?v=dnT2vp4JdW4,04:02
68,Lolita,11,Lana Del Rey,https://music.youtube.com/watch?v=Dii4rx05uc4,40:20
69,Love,14,Lana Del Rey,https://music.youtube.com/watch?v=RB3Wjz_VzG4,63:42
70,Love song,1,Lana Del Rey,https://music.youtube.com/watch?v=5xx9gTEQaiQ,03:50
71,Lust For Life,3,Lana Del Rey,https://music.youtube.com/watch?v=LCQ_1RyoD5Y,13:15
72,Margaret,2,Lana Del Rey,https://music.youtube.com/watch?v=ueaJj5eVUVk,11:20
73,Mariners Apartment Complex,7,Lana Del Rey,https://music.youtube.com/watch?v=sgm3F5D1yz8,28:56
74,Million Dollar Man,10,Lana Del Rey,https://music.youtube.com/watch?v=b_O_9j059sU,38:40
75,Money Power Glory,6,Lana Del Rey,https://music.youtube.com/watch?v=BnfumBZQKyQ,27:06
76,Music To Watch Boys To,40,Lana Del Rey,https://music.youtube.com/watch?v=0WXCEssUwm8,194:00
77,National Anthem,9,Lana Del Rey,https://music.youtube.com/watch?v=4AXGMkHM8F0,34:39
78,Nectar Of The Gods,1,Lana Del Rey,https://music.youtube.com/watch?v=GXGcjfUdHnU,04:20
79,Norman fucking Rockwell,10,Lana Del Rey,https://music.youtube.com/watch?v=wPt0dGg4BKA,41:30
80,Not All Who Wander Are Lost,1,Lana Del Rey,https://music.youtube.com/watch?v=k4VGVBA9UpY,04:06
81,Off To The Races,14,Lana Del Rey,https://music.youtube.com/watch?v=1CaS4pSpS3c,70:00
82,Old Money,3,Lana Del Rey,https://music.youtube.com/watch?v=DWuiC49Onfk,13:36
83,"Paris, Texas",5,Lana Del Rey,https://music.youtube.com/watch?v=h4VZBxBBLZE,17:15
84,Peppers,4,Lana Del Rey,https://music.youtube.com/watch?v=3CiVFAsgJXA,16:36
85,Pretty When You Cry,11,Lana Del Rey,https://music.youtube.com/watch?v=qOydK8NP6TM,43:05
86,Radio,13,Lana Del Rey,https://music.youtube.com/watch?v=o7e4IfE0ScI,46:35
87,Religion,29,Lana Del Rey,https://music.youtube.com/watch?v=HUB63iL3icA,156:36
88,Ride,8,Lana Del Rey,https://music.youtube.com/watch?v=xTU7Q-7nshw,38:40
89,Sad Girl,12,Lana Del Rey,https://music.youtube.com/watch?v=jvm6DpqqbLk,63:36
90,Salvatore,13,Lana Del Rey,https://music.youtube.com/watch?v=GVQON-muEFc,61:06
91,Say Yes To Heaven,3,Lana Del Rey,https://music.youtube.com/watch?v=6ksOgOnX8q4,10:30
92,Season Of The Witch,15,Lana Del Rey,https://music.youtube.com/watch?v=oRrPuIdSZyo,62:00
93,Shades Of Cool,14,Lana Del Rey,https://music.youtube.com/watch?v=igC9mcrZlHo,80:02
94,Summer Bummer,1,Lana Del Rey,https://music.youtube.com/watch?v=ufujhThSpzI,04:21
95,Summertime (Imanbek Remix),2,Lana Del Rey,https://music.youtube.com/watch?v=WsT3YB43vpk,08:52
96,Summertime Sadness,19,Lana Del Rey,https://music.youtube.com/watch?v=fRQg_9ulGuI,83:55
97,Summertime The Gershwin Version,1,Lana Del Rey,https://music.youtube.com/watch?v=Ku_knRls53A,03:06
98,Swan Song,24,Lana Del Rey,https://music.youtube.com/watch?v=EnbCJDFvT7M,129:36
99,Sweet,3,Lana Del Rey,https://music.youtube.com/watch?v=RNwOquJbtUw,10:48
100,Sweet Carolina,1,Lana Del Rey,https://music.youtube.com/watch?v=hMt-juf5uoA,03:22
101,Taco Truck x VB,3,Lana Del Rey,https://music.youtube.com/watch?v=iQ07jXaOpQ8,17:42
102,Terrence Loves You,6,Lana Del Rey,https://music.youtube.com/watch?v=-ObNC0woeyc,29:06
