,Unnamed: 0,title,count,artist,url,Duration,Album
0,0,Abbey,1,Mitski,https://music.youtube.com/watch?v=-wuU_3GmGWs,02:47,Lush
1,1,Bag of Bones,1,Mitski,https://music.youtube.com/watch?v=MvALY9TzINU,04:37,Lush
2,2,Door,1,Mitski,https://music.youtube.com/watch?v=yR0rB7dSH9s,02:13,I've Tried Everything But Therapy (Part 1)
3,3,Eric,1,Mitski,https://music.youtube.com/watch?v=5AH9pU5AZj4,03:18,Unplugged (Live)
4,4,First Love/Late Spring,14,Mitski,https://music.youtube.com/watch?v=WCphVz0ZGns,65:06,Bury Me At Makeout Creek
5,5,Glide (cover),1,Mitski,https://music.youtube.com/watch?v=ur8_4stBye0,03:42,Glide (cover)
6,6,Liquid Smooth,17,Mitski,https://music.youtube.com/watch?v=urdVG-EmosU,48:10,Lush
7,7,Me and My Husband,5,Mitski,https://music.youtube.com/watch?v=TU_Dbxciei8,11:30,Be the Cowboy
8,8,Nobody,4,Mitski,https://music.youtube.com/watch?v=GVZqDCG2VrA,12:56,Only Jesus
9,9,Pearl Diver,1,Mitski,https://music.youtube.com/watch?v=nK_TJLF3a8k,02:45,Lush
10,10,Should've Been Me,1,Mitski,https://music.youtube.com/watch?v=vGAaMCt05cI,03:12,MMO2
11,11,Stay Soft,1,Mitski,https://music.youtube.com/watch?v=ofbEhkO5AGA,03:17,Laurel Hell
12,12,The Only Heartbreaker,1,Mitski,https://music.youtube.com/watch?v=FDb3qY4l-Ks,03:05,Laurel Hell
13,13,Washing Machine Heart,8,Mitski,https://music.youtube.com/watch?v=12rsVkwSsXU,17:12,Be the Cowboy
14,14,Wife,1,Mitski,https://music.youtube.com/watch?v=ccUzg290GME,02:40,2 (2)
15,15,TOTALS,58,,,186:30,
