,Unnamed: 0,title,count,artist,url,Duration,Album
0,0,A Girl Like Me,1,Rihanna,https://music.youtube.com/watch?v=kfkElYvSuUI,04:16,TRANSLATION
1,1,American Oxygen,1,Rihanna,https://music.youtube.com/watch?v=xv3vbI45oVU,05:21,American Oxygen
2,2,Bitch Better Have My Money,6,Rihanna,https://music.youtube.com/watch?v=ukW82Ico4U0,22:00,Bitch Better Have My Money
3,3,Breakin' Dishes,1,Rihanna,https://music.youtube.com/watch?v=ISRSHPKUE4w,03:21,Good Girl Gone Bad: Reloaded
4,4,California King Bed,4,Rihanna,https://music.youtube.com/watch?v=Q23KGaXq-ms,16:48,Loud (Japan Version)
5,5,Cheers (Drink To That),1,Rihanna,https://music.youtube.com/watch?v=fpj3QmKzeQA,04:22,Loud (Japan Version)
6,6,Close To You,4,Rihanna,https://music.youtube.com/watch?v=266ldDxE3aA,14:56,When the Stars Gossip OST Part.3 (별들에게 물어봐 OST Part.3)
7,7,Complicated,1,Rihanna,https://music.youtube.com/watch?v=SKap_pvgkUw,04:18,Let Go
8,8,Consideration,19,Rihanna,https://music.youtube.com/watch?v=WSSShAOKYfo,51:18,ANTI
9,9,Crazy Little Thing Called Love,1,Rihanna,https://music.youtube.com/watch?v=QbM8ySrmFp4,03:23,Rockeros Enamorados
10,10,Desperado,12,Rihanna,https://music.youtube.com/watch?v=aD6pjhFOjFM,37:24,ANTI
11,11,Diamonds,10,Rihanna,https://music.youtube.com/watch?v=oDKCccvsDpk,37:40,Unapologetic
12,12,Disturbia,1,Rihanna,https://music.youtube.com/watch?v=wmGjajXDHKo,03:59,Good Girl Gone Bad: Reloaded
13,13,Don't Stop The Music,1,Rihanna,https://music.youtube.com/watch?v=NengL7n9tR8,04:28,Good Girl Gone Bad
14,14,Fading,1,Rihanna,https://music.youtube.com/watch?v=h1h42VSze2s,03:28,Loud (Japan Version)
15,15,FourFiveSeconds,4,Rihanna,https://music.youtube.com/watch?v=5pvcfbf0PXY,12:36,FourFiveSeconds
16,16,Get It Over With,1,Rihanna,https://music.youtube.com/watch?v=6IeID-Qb6jU,03:32,Forever Goin In
17,17,Goodnight Gotham,1,Rihanna,https://music.youtube.com/watch?v=h1LnLitSkv8,01:29,ANTI (Deluxe)
18,18,Here I Go Again,1,Rihanna,https://music.youtube.com/watch?v=TkkAN99VstE,04:12,Whitesnake
19,19,Higher,4,Rihanna,https://music.youtube.com/watch?v=zzOs66hec8U,08:04,Human Clay
20,20,If It's Lovin' That You Want,1,Rihanna,https://music.youtube.com/watch?v=QDzNZkC-OGw,03:29,Music Of The Sun
21,21,If It's Lovin' That You Want (Pt. 2),1,Rihanna,https://music.youtube.com/watch?v=hmtJneugF7Y,04:09,A Girl Like Me
22,22,James Joint,5,Rihanna,https://music.youtube.com/watch?v=fyh8kn4pM5c,06:05,ANTI (Deluxe)
23,23,Jump,1,Rihanna,https://music.youtube.com/watch?v=B6OJonOj8r4,04:25,1984
24,24,Kiss It Better,10,Rihanna,https://music.youtube.com/watch?v=Ht2O3xYjJik,42:20,ANTI
25,25,Kisses Don't Lie,1,Rihanna,https://music.youtube.com/watch?v=sADxrPgkikE,03:53,Flirt
26,26,Lift Me Up (From Black Panther: Wakanda Forever - Music From and Inspired By),6,Rihanna,https://music.youtube.com/watch?v=Y6p5FLuv-7Y,19:42,Lift Me Up
27,27,Lift Me Up (Instrumental),1,Rihanna,https://music.youtube.com/watch?v=bN_Qr0jmTwM,03:16,Lift Me Up
28,28,Love On The Brain,4,Rihanna,https://music.youtube.com/watch?v=QMP-o8WXSPM,14:56,ANTI
29,29,Love The Way You Lie (Part II) (Pt. 2),1,Rihanna,https://music.youtube.com/watch?v=RGIs8WQYIl0,04:57,Loud
30,30,Loveeeeeee Song,2,Rihanna,https://music.youtube.com/watch?v=WdaxFK66VNM,08:34,Unapologetic
31,31,Man Down,4,Rihanna,https://music.youtube.com/watch?v=2IzNKRg5uZs,17:48,Loud
32,32,Needed Me,10,Rihanna,https://music.youtube.com/watch?v=gOtgSJrmHhk,32:00,ANTI
33,33,Never Ending,4,Rihanna,https://music.youtube.com/watch?v=Rjc1ffvBCa0,13:32,The Never Ending Story
34,34,Numb,1,Rihanna,https://music.youtube.com/watch?v=HVfoRzNLgUg,03:26,Meteora (Bonus Edition)
35,35,Only Girl (In The World),5,Rihanna,https://music.youtube.com/watch?v=Xv9023cub0Y,19:40,Loud (Japan Version)
36,36,Phresh Out The Runway,1,Rihanna,https://music.youtube.com/watch?v=1jeBey-2T-k,03:43,Unapologetic
37,37,Pon de Replay,1,Rihanna,https://music.youtube.com/watch?v=9fT1CEf7Wzg,04:07,Music Of The Sun
38,38,Pose,3,Rihanna,https://music.youtube.com/watch?v=4Y53-hKsPYE,07:15,Talento de Barrio
39,39,Pour It Up,2,Rihanna,https://music.youtube.com/watch?v=_230CnyCn6g,05:24,Unapologetic
40,40,Push Up On Me,2,Rihanna,https://music.youtube.com/watch?v=Drym3_r3as0,06:32,Good Girl Gone Bad: Reloaded
41,41,Raining Men,1,Rihanna,https://music.youtube.com/watch?v=VROEuSoqQwQ,03:45,Success
42,42,Rehab,4,Rihanna,https://music.youtube.com/watch?v=IEh2v9fTorU,19:40,Good Girl Gone Bad
43,43,Right Now,1,Rihanna,https://music.youtube.com/watch?v=4fwB5sosz_I,03:02,Midnight Memories (Deluxe)
44,44,Rude Boy,1,Rihanna,https://music.youtube.com/watch?v=bqUsUhz41jY,03:43,Rated R
45,45,Russian Roulette,1,Rihanna,https://music.youtube.com/watch?v=2QGo_c7zd2M,03:48,Rated R
46,46,S & M,6,Rihanna,https://music.youtube.com/watch?v=q_MtePol92o,24:24,Loud (Japan Version)
47,47,SOS,1,Rihanna,https://music.youtube.com/watch?v=pHQvdENN8GM,03:59,MALA MÍA
48,48,Same Ol’ Mistakes,9,Rihanna,https://music.youtube.com/watch?v=6LqnBrBSFyU,59:42,ANTI
49,49,Sex With Me,4,Rihanna,https://music.youtube.com/watch?v=k4X9bXkKUJE,13:48,ANTI (Deluxe)
50,50,Shut Up And Drive,1,Rihanna,https://music.youtube.com/watch?v=W-dVPdwVetU,03:33,Good Girl Gone Bad
51,51,Skin,4,Rihanna,https://music.youtube.com/watch?v=p0dApfB-et0,20:16,Loud (Japan Version)
52,52,Stay,9,Rihanna,https://music.youtube.com/watch?v=2aLO6Ecof4s,36:09,STAY
53,53,Take A Bow,7,Rihanna,https://music.youtube.com/watch?v=pY6Rlu0SZRc,26:50,Good Girl Gone Bad: Reloaded
54,54,"That La, La, La",1,Rihanna,https://music.youtube.com/watch?v=T-7quj6w0Rw,03:46,Music Of The Sun
55,55,Umbrella,5,Rihanna,https://music.youtube.com/watch?v=x_GqgW94eSg,23:00,Good Girl Gone Bad: Reloaded
56,56,Umbrella (Radio Edit),3,Rihanna,https://music.youtube.com/watch?v=5ApuGPBPXMs,12:54,Umbrella
57,57,Unfaithful,5,Rihanna,https://music.youtube.com/watch?v=ut-p7oK5n0I,18:55,A Girl Like Me
58,58,We Found Love,2,Rihanna,https://music.youtube.com/watch?v=UUpuyzPJeWA,07:12,Talk That Talk
