,title,count,artist,url,Duration,Album
0,20 Something,3,SZA,https://music.youtube.com/watch?v=vTrQXpwRXFE,09:57,Ctrl
1,2AM,1,SZA,https://music.youtube.com/watch?v=_SSZeNqbvFo,04:03,TAKE CARE
2,Babylon (feat. Kendrick Lamar),1,SZA,https://music.youtube.com/watch?v=_DO7s37kEEI,03:55,"Ultimate Boney M. - Long Versions & Rarities, Vol. 1 (1976 - 1980)"
3,Blind,19,SZA,https://music.youtube.com/watch?v=mfQvFSkYJBY,47:49,SOS
4,Broken Clocks,7,SZA,https://music.youtube.com/watch?v=qJ7wOEz6OUE,27:04,Broken Clocks
5,Conceited,9,SZA,https://music.youtube.com/watch?v=ZRRQPSTUQKw,22:48,Conceited
6,Doves In The Wind,1,SZA,https://music.youtube.com/watch?v=VpymZzZ8Opg,04:27,Ctrl
7,F2F,11,SZA,https://music.youtube.com/watch?v=Yu91kg8RSMU,34:06,SOS
8,Far,15,SZA,https://music.youtube.com/watch?v=lyNbWD07o1Q,45:15,SOS
9,Forgiveless,6,SZA,https://music.youtube.com/watch?v=52b2j85GMp8,14:12,SOS
10,Ghost in the Machine,13,SZA,https://music.youtube.com/watch?v=j1Tm5HylCxw,47:27,SOS
11,Go Gina,3,SZA,https://music.youtube.com/watch?v=iZX2eztChus,08:06,Ctrl
12,Gone Girl,16,SZA,https://music.youtube.com/watch?v=T5TLgg4vDUw,65:20,SOS
13,Good Days,27,SZA,https://music.youtube.com/watch?v=8B3Pz_2H6H8,126:00,Good Days
14,I Hate U,9,SZA,https://music.youtube.com/watch?v=yPMa4PxuxSU,26:06,SOS
15,Kill Bill,33,SZA,https://music.youtube.com/watch?v=lcX37Pzobxw,84:42,SOS
16,Kill Bill (Acoustic),2,SZA,https://music.youtube.com/watch?v=6dmYyDjaacc,05:38,Kill Bill (Acoustic)
17,Love Galore,5,SZA,https://music.youtube.com/watch?v=wku2PjKQcA4,23:00,Ctrl
18,Love Galore (Alternate Version),2,SZA,https://music.youtube.com/watch?v=2QWDnt8E-0I,09:08,Ctrl (Deluxe)
19,Love Language,23,SZA,https://music.youtube.com/watch?v=0Xv_UrlpgpA,70:32,Scorpiann
20,Low,21,SZA,https://music.youtube.com/watch?v=3sBKNYTO50Y,63:42,Mail on Sunday
21,Nobody Gets Me,12,SZA,https://music.youtube.com/watch?v=2NyIupIueAY,36:12,SOS
22,Normal Girl,14,SZA,https://music.youtube.com/watch?v=aVbg4uInGX0,59:16,Ctrl
23,Notice Me,17,SZA,https://music.youtube.com/watch?v=sMCmIw8q9fQ,45:37,NB Ridaz.com
24,Open Arms,17,SZA,https://music.youtube.com/watch?v=bHVAX4i1q5A,68:00,SOS
25,Pretty Little Birds,1,SZA,https://music.youtube.com/watch?v=1tGX659LXyI,04:06,Ctrl
26,SOS,22,SZA,https://music.youtube.com/watch?v=tafAB36p2sc,43:16,MALA MÍA
27,Seek & Destroy,27,SZA,https://music.youtube.com/watch?v=7ms7kUxv2lU,91:48,Kill 'Em All
28,Shirt,14,SZA,https://music.youtube.com/watch?v=o9-YyROo73M,42:28,"From the Circus to the Sea, Pt. 2"
29,Smoking on my Ex Pack,14,SZA,https://music.youtube.com/watch?v=JI3kqhEizmk,19:36,SOS
30,Snooze,21,SZA,https://music.youtube.com/watch?v=ZqSlV5LmrTg,70:42,SOS
31,Special,8,SZA,https://music.youtube.com/watch?v=iGeunuVSblE,21:12,I Still Dont Feel Nun
32,Supermodel,6,SZA,https://music.youtube.com/watch?v=DnBKobj275Q,18:12,Ctrl
33,The Weekend,2,SZA,https://music.youtube.com/watch?v=6EAafbR1Drk,09:06,Blinding Lights
34,The Weekend (Funk Wav Remix),2,SZA,https://music.youtube.com/watch?v=JPorwNZZoY4,05:44,The Weekend (Funk Wav Remix)
35,Too Late,10,SZA,https://music.youtube.com/watch?v=-DDSFXNobeU,27:30,Too Late
36,Used,23,SZA,https://music.youtube.com/watch?v=1HuP-JNVk4Y,56:21,SOS
37,TOTALS,437,,,1362:23,
