,title,count,artist,url,Duration
0,A Lonely Night,4,The Weeknd,https://music.youtube.com/watch?v=atGlHRi0n4A,14:44
1,A Tale By Quincy,10,The Weeknd,https://music.youtube.com/watch?v=XyzMNRxC8CM,16:10
2,Acquainted,6,The Weeknd,https://music.youtube.com/watch?v=1mOGF169Eno,34:54
3,Adaptation,11,The Weeknd,https://music.youtube.com/watch?v=pfnnmwLR8vY,52:04
4,After Hours,10,The Weeknd,https://music.youtube.com/watch?v=WxYgXmZ9xh8,60:20
5,All I Know,1,The Weeknd,https://music.youtube.com/watch?v=sfvFAqzIGh8,05:22
6,Alone Again,12,The Weeknd,https://music.youtube.com/watch?v=i8r4zJC1i70,50:12
7,Angel,2,The Weeknd,https://music.youtube.com/watch?v=4P0tjs7vnWc,12:36
8,As You Are,2,The Weeknd,https://music.youtube.com/watch?v=m3tEN8Yik4c,11:22
9,Belong To The World,6,The Weeknd,https://music.youtube.com/watch?v=WnO7Xq18ed0,30:48
10,Best Friends,18,The Weeknd,https://music.youtube.com/watch?v=8PL4q4UBfvo,49:12
11,Best Friends (Remix),2,The Weeknd,https://music.youtube.com/watch?v=jGgX5f4gRqY,05:52
12,Blinding Lights,11,The Weeknd,https://music.youtube.com/watch?v=2ru92T7Y5z0,36:51
13,Call Out My Name,7,The Weeknd,https://music.youtube.com/watch?v=ZtEtKXhhtS4,26:43
14,Can't Feel My Face,11,The Weeknd,https://music.youtube.com/watch?v=j6V7qfIRgNo,39:14
15,Can't Feel My Face (Martin Garrix Remix),1,The Weeknd,https://music.youtube.com/watch?v=_lJs0t7uc7Y,04:13
16,Coming Down,27,The Weeknd,https://music.youtube.com/watch?v=e7N4Rnfptrg,133:12
17,D.D.,5,The Weeknd,https://music.youtube.com/watch?v=5VAIsNa39qQ,23:00
18,Dark Times,2,The Weeknd,https://music.youtube.com/watch?v=E3qtZDKAWk0,08:42
19,Dawn FM,20,The Weeknd,https://music.youtube.com/watch?v=_Tn_I4GVwxg,32:20
20,Die For You,31,The Weeknd,https://music.youtube.com/watch?v=mTLQhPFx2nM,134:51
21,Die For You (Remix),2,The Weeknd,https://music.youtube.com/watch?v=SyhtTI-ck1c,07:46
22,Don’t Break My Heart,14,The Weeknd,https://music.youtube.com/watch?v=v1WjXOglg40,48:04
