,title,count,artist,url,Duration
0,90210,19,Travis Scott,https://music.youtube.com/watch?v=tBfWb5IrbOI,107:40
1,Apple Pie,5,Travis Scott,https://music.youtube.com/watch?v=cLx87ceoNT8,18:20
2,BUTTERFLY EFFECT,7,Travis Scott,https://music.youtube.com/watch?v=k2pwvr8p4vM,22:17
3,Bad Mood / Shit On You,1,Travis Scott,https://music.youtube.com/watch?v=T3cyWrKsbWc,05:41
4,CAN'T SAY,1,Travis Scott,https://music.youtube.com/watch?v=4Lk6xbu-W2w,03:19
5,CIRCUS MAXIMUS,3,Travis Scott,https://music.youtube.com/watch?v=4JAwSDUQd2g,12:57
6,DELRESTO (ECHOES),4,Travis Scott,https://music.youtube.com/watch?v=lFY4ZN0Xn4U,18:20
7,Dance On the Moon,1,Travis Scott,https://music.youtube.com/watch?v=JNNd22GEMsM,04:52
8,ESCAPE PLAN,1,Travis Scott,https://music.youtube.com/watch?v=ksUfStFtC4c,02:30
9,FE!N,4,Travis Scott,https://music.youtube.com/watch?v=2nR1zrNzgcY,12:48
10,FRANCHISE,1,Travis Scott,https://music.youtube.com/watch?v=e9LjL3XYoms,03:23
11,GOD'S COUNTRY,6,Travis Scott,https://music.youtube.com/watch?v=V5aG6wBnzXs,12:48
12,HIGHEST IN THE ROOM,8,Travis Scott,https://music.youtube.com/watch?v=Gs5WlUzk_Ec,23:28
13,HIGHEST IN THE ROOM (Remix),1,Travis Scott,https://music.youtube.com/watch?v=VKAcYC4KXvU,04:05
14,HYAENA,10,Travis Scott,https://music.youtube.com/watch?v=qS6ozdhzSVQ,37:10
15,I Can Tell,1,Travis Scott,https://music.youtube.com/watch?v=XtPO2PLZ3tk,03:56
16,I KNOW ?,6,Travis Scott,https://music.youtube.com/watch?v=l-Z8PWbAveU,21:12
17,Impossible,1,Travis Scott,https://music.youtube.com/watch?v=fLMB6-AHTXI,04:03
18,K-POP,3,Travis Scott,https://music.youtube.com/watch?v=ukiaSGya_CA,09:18
19,LOOOVE,2,Travis Scott,https://music.youtube.com/watch?v=LpmC9WbZXI4,07:34
20,LOST FOREVER,2,Travis Scott,https://music.youtube.com/watch?v=fd-xDxnmZPc,05:28
21,MAFIA,4,Travis Scott,https://music.youtube.com/watch?v=7e-0ZWqMtWg,16:00
22,MELTDOWN,6,Travis Scott,https://music.youtube.com/watch?v=qOwogdsFvbY,24:42
23,MODERN JAM,6,Travis Scott,https://music.youtube.com/watch?v=DEN41y8EcTQ,25:36
24,MY EYES,9,Travis Scott,https://music.youtube.com/watch?v=yhohHPdPczQ,37:48
25,Mamacita,1,Travis Scott,https://music.youtube.com/watch?v=b7nuPJiCz4U,04:35
26,Maria I'm Drunk,4,Travis Scott,https://music.youtube.com/watch?v=fI-mnYR-Mp8,23:20
27,NO BYSTANDERS,2,Travis Scott,https://music.youtube.com/watch?v=IjZso16Glss,07:18
28,Oh My Dis Side,1,Travis Scott,https://music.youtube.com/watch?v=_ZALrZUSshA,05:52
29,Ok Alright,4,Travis Scott,https://music.youtube.com/watch?v=WFYpz-QhOgk,27:52
30,PARASAIL,2,Travis Scott,https://music.youtube.com/watch?v=uJsZMweonnA,05:10
31,Pornography,1,Travis Scott,https://music.youtube.com/watch?v=NCUGupIhRvk,03:52
32,Pray 4 Love,7,Travis Scott,https://music.youtube.com/watch?v=EivJ5hpQzms,35:49
33,SICKO MODE,3,Travis Scott,https://music.youtube.com/watch?v=NQbkGDoD7B0,15:39
34,SIRENS,7,Travis Scott,https://music.youtube.com/watch?v=cW4cpK5XYVs,23:55
35,SKITZO,3,Travis Scott,https://music.youtube.com/watch?v=e74FMh7wEy4,18:21
36,STARGAZING,2,Travis Scott,https://music.youtube.com/watch?v=9i8etMz0BdE,09:02
37,STOP TRYING TO BE GOD,5,Travis Scott,https://music.youtube.com/watch?v=vH68UJG1Qfg,28:15
38,Sky Fall,16,Travis Scott,https://music.youtube.com/watch?v=cFn8jpidI24,85:04
39,TELEKINESIS,3,Travis Scott,https://music.youtube.com/watch?v=zIuZhdJVWIs,17:42
40,THANK GOD,8,Travis Scott,https://music.youtube.com/watch?v=kPpm2p_xQ40,24:40
41,TIL FURTHER NOTICE,2,Travis Scott,https://music.youtube.com/watch?v=Fl2BBVSniGA,10:30
42,TOPIA TWINS,6,Travis Scott,https://music.youtube.com/watch?v=qCwf0lrlVXc,22:24
43,WHO? WHAT!,1,Travis Scott,https://music.youtube.com/watch?v=Ykzk5erqQnM,02:57
44,YOSEMITE,12,Travis Scott,https://music.youtube.com/watch?v=9dm6HKE_7KI,30:12
45,sdp interlude,10,Travis Scott,https://music.youtube.com/watch?v=vVXCtDXgfz0,32:00
46,sweet sweet,1,Travis Scott,https://music.youtube.com/watch?v=EqXAV2UcYjU,03:43
47,through the late night,1,Travis Scott,https://music.youtube.com/watch?v=zojCw8_AdRg,04:47
48,TOTALS,214,,,888:14
